,Alabama,,,,Alaska,,,,Arizona,,,,Arkansas,,,,California,,,,Colorado,,,,Connecticut,,,,Delaware,,,,District of Columbia,,,,Florida,,,,Georgia,,,,Hawaii,,,,Idaho,,,,Illinois,,,,Indiana,,,,Iowa,,,,Kansas,,,,Kentucky,,,,Louisiana,,,,Maine,,,,Maryland,,,,Massachusetts,,,,Michigan,,,,Minnesota,,,,Mississippi,,,,Missouri,,,,Montana,,,,Nebraska,,,,Nevada,,,,New Hampshire,,,,New Jersey,,,,New Mexico,,,,New York,,,,North Carolina,,,,North Dakota,,,,Ohio,,,,Oklahoma,,,,Oregon,,,,Pennsylvania,,,,Rhode Island,,,,South Carolina,,,,South Dakota,,,,Tennessee,,,,Texas,,,,Utah,,,,Vermont,,,,Virginia,,,,Washington,,,,West Virginia,,,,Wisconsin,,,,Wyoming,,,,Puerto Rico,,,
One race,"4,811,663","±6,916",98.1%,±0.1,"674,069","±5,446",92.1%,±0.7,"6,998,143","±12,629",96.1%,±0.2,"2,934,201","±7,131",97.2%,±0.2,"37,534,078","±33,931",95.0%,±0.1,"5,525,793","±10,805",96.0%,±0.2,"3,434,219","±8,941",96.3%,±0.3,"943,597","±4,218",96.9%,±0.4,"682,428","±3,488",96.7%,±0.5,"20,846,185","±24,376",97.1%,±0.1,"10,333,002","±14,589",97.3%,±0.1,"1,099,404","±11,280",77.6%,±0.8,"1,728,365","±4,924",96.7%,±0.3,"12,319,888","±15,282",97.2%,±0.1,"6,557,936","±10,311",97.4%,±0.2,"3,086,822","±5,650",97.8%,±0.2,"2,804,543","±6,310",96.3%,±0.2,"4,363,515","±6,961",97.7%,±0.2,"4,555,727","±7,819",98.0%,±0.2,"1,315,676","±3,365",97.9%,±0.3,"5,840,122","±11,032",96.6%,±0.2,"6,642,044","±13,147",96.4%,±0.2,"9,684,517","±11,635",97.0%,±0.1,"5,453,049","±10,756",96.7%,±0.2,"2,932,485","±6,308",98.5%,±0.2,"5,965,175","±8,461",97.2%,±0.1,"1,032,261","±3,637",96.6%,±0.3,"1,881,025","±5,206",97.2%,±0.3,"2,935,948","±8,665",95.3%,±0.3,"1,329,506","±3,411",97.8%,±0.3,"8,617,761","±14,190",97.0%,±0.2,"2,024,385","±6,802",96.5%,±0.3,"18,804,263","±19,354",96.7%,±0.1,"10,192,947","±17,994",97.2%,±0.2,"736,917","±3,813",96.7%,±0.5,"11,345,759","±13,932",97.1%,±0.1,"3,656,806","±9,446",92.4%,±0.2,"4,010,412","±11,022",95.1%,±0.3,"12,469,281","±14,431",97.4%,±0.1,"1,014,761","±5,770",95.8%,±0.5,"5,023,183","±9,493",97.6%,±0.2,"859,961","±3,560",97.2%,±0.4,"6,672,928","±8,001",97.7%,±0.1,"28,159,954","±28,006",97.1%,±0.1,"3,102,384","±8,741",96.8%,±0.3,"608,622","±2,758",97.5%,±0.4,"8,215,287","±13,942",96.2%,±0.2,"7,161,398","±14,500",94.0%,±0.2,"1,759,897","±2,917",98.2%,±0.2,"5,685,400","±7,824",97.6%,±0.1,"562,936","±3,004",97.3%,±0.5,"2,966,604","±12,317",92.9%,±0.4
Two or more races,"91,522","±6,916",1.9%,±0.1,"57,476","±5,446",7.9%,±0.7,"280,574","±12,629",3.9%,±0.2,"83,603","±7,131",2.8%,±0.2,"1,978,145","±33,931",5.0%,±0.1,"232,943","±10,805",4.0%,±0.2,"131,068","±8,941",3.7%,±0.3,"30,167","±4,218",3.1%,±0.4,"23,321","±3,488",3.3%,±0.5,"631,552","±24,376",2.9%,±0.1,"284,421","±14,589",2.7%,±0.1,"316,468","±11,280",22.4%,±0.8,"58,700","±4,924",3.3%,±0.3,"351,933","±15,282",2.8%,±0.1,"174,283","±10,311",2.6%,±0.2,"68,248","±5,650",2.2%,±0.2,"108,771","±6,310",3.7%,±0.2,"104,158","±6,961",2.3%,±0.2,"93,067","±7,819",2.0%,±0.2,"28,536","±3,365",2.1%,±0.3,"205,558","±11,032",3.4%,±0.2,"250,459","±13,147",3.6%,±0.2,"302,340","±11,635",3.0%,±0.1,"186,583","±10,756",3.3%,±0.2,"43,664","±6,308",1.5%,±0.2,"172,253","±8,461",2.8%,±0.1,"36,517","±3,637",3.4%,±0.3,"53,383","±5,206",2.8%,±0.3,"144,208","±8,665",4.7%,±0.3,"30,205","±3,411",2.2%,±0.3,"264,429","±14,190",3.0%,±0.2,"72,444","±6,802",3.5%,±0.3,"649,298","±19,354",3.3%,±0.1,"295,137","±17,994",2.8%,±0.2,"25,145","±3,813",3.3%,±0.5,"343,341","±13,932",2.9%,±0.1,"300,165","±9,446",7.6%,±0.2,"207,325","±11,022",4.9%,±0.3,"332,708","±14,431",2.6%,±0.1,"44,600","±5,770",4.2%,±0.5,"125,531","±9,493",2.4%,±0.2,"24,698","±3,560",2.8%,±0.4,"156,246","±8,001",2.3%,±0.1,"835,927","±28,006",2.9%,±0.1,"103,574","±8,741",3.2%,±0.3,"15,367","±2,758",2.5%,±0.4,"320,232","±13,942",3.8%,±0.2,"453,495","±14,500",6.0%,±0.2,"32,250","±2,917",1.8%,±0.2,"137,034","±7,824",2.4%,±0.1,"15,823","±3,004",2.7%,±0.5,"227,090","±12,317",7.1%,±0.4
One race,"4,811,663","±6,916",98.1%,±0.1,"674,069","±5,446",92.1%,±0.7,"6,998,143","±12,629",96.1%,±0.2,"2,934,201","±7,131",97.2%,±0.2,"37,534,078","±33,931",95.0%,±0.1,"5,525,793","±10,805",96.0%,±0.2,"3,434,219","±8,941",96.3%,±0.3,"943,597","±4,218",96.9%,±0.4,"682,428","±3,488",96.7%,±0.5,"20,846,185","±24,376",97.1%,±0.1,"10,333,002","±14,589",97.3%,±0.1,"1,099,404","±11,280",77.6%,±0.8,"1,728,365","±4,924",96.7%,±0.3,"12,319,888","±15,282",97.2%,±0.1,"6,557,936","±10,311",97.4%,±0.2,"3,086,822","±5,650",97.8%,±0.2,"2,804,543","±6,310",96.3%,±0.2,"4,363,515","±6,961",97.7%,±0.2,"4,555,727","±7,819",98.0%,±0.2,"1,315,676","±3,365",97.9%,±0.3,"5,840,122","±11,032",96.6%,±0.2,"6,642,044","±13,147",96.4%,±0.2,"9,684,517","±11,635",97.0%,±0.1,"5,453,049","±10,756",96.7%,±0.2,"2,932,485","±6,308",98.5%,±0.2,"5,965,175","±8,461",97.2%,±0.1,"1,032,261","±3,637",96.6%,±0.3,"1,881,025","±5,206",97.2%,±0.3,"2,935,948","±8,665",95.3%,±0.3,"1,329,506","±3,411",97.8%,±0.3,"8,617,761","±14,190",97.0%,±0.2,"2,024,385","±6,802",96.5%,±0.3,"18,804,263","±19,354",96.7%,±0.1,"10,192,947","±17,994",97.2%,±0.2,"736,917","±3,813",96.7%,±0.5,"11,345,759","±13,932",97.1%,±0.1,"3,656,806","±9,446",92.4%,±0.2,"4,010,412","±11,022",95.1%,±0.3,"12,469,281","±14,431",97.4%,±0.1,"1,014,761","±5,770",95.8%,±0.5,"5,023,183","±9,493",97.6%,±0.2,"859,961","±3,560",97.2%,±0.4,"6,672,928","±8,001",97.7%,±0.1,"28,159,954","±28,006",97.1%,±0.1,"3,102,384","±8,741",96.8%,±0.3,"608,622","±2,758",97.5%,±0.4,"8,215,287","±13,942",96.2%,±0.2,"7,161,398","±14,500",94.0%,±0.2,"1,759,897","±2,917",98.2%,±0.2,"5,685,400","±7,824",97.6%,±0.1,"562,936","±3,004",97.3%,±0.5,"2,966,604","±12,317",92.9%,±0.4
White,"3,326,375","±8,070",67.8%,±0.2,"469,771","±4,147",64.2%,±0.6,"5,701,810","±20,005",78.3%,±0.3,"2,315,020","±8,944",76.7%,±0.3,"23,484,958","±66,457",59.4%,±0.2,"4,822,379","±16,194",83.7%,±0.3,"2,660,228","±14,767",74.6%,±0.4,"659,719","±5,370",67.7%,±0.6,"300,058","±4,791",42.5%,±0.7,"16,010,079","±29,969",74.5%,±0.1,"6,131,699","±17,015",57.8%,±0.2,"341,211","±4,361",24.1%,±0.3,"1,596,918","±8,069",89.4%,±0.5,"9,044,059","±29,217",71.4%,±0.2,"5,571,899","±13,154",82.8%,±0.2,"2,835,536","±5,371",89.9%,±0.2,"2,436,902","±8,136",83.6%,±0.3,"3,873,691","±5,598",86.7%,±0.1,"2,874,784","±7,880",61.8%,±0.2,"1,263,287","±2,108",94.0%,±0.2,"3,296,909","±13,654",54.5%,±0.2,"5,305,385","±21,121",77.0%,±0.3,"7,812,165","±11,396",78.2%,±0.1,"4,627,588","±9,059",82.1%,±0.2,"1,726,970","±6,136",58.0%,±0.2,"5,022,939","±7,560",81.8%,±0.1,"940,423","±2,810",88.0%,±0.3,"1,666,763","±6,142",86.2%,±0.3,"1,989,116","±17,188",64.6%,±0.6,"1,258,576","±3,767",92.6%,±0.3,"5,964,295","±22,769",67.1%,±0.3,"1,549,953","±14,976",73.9%,±0.7,"12,293,680","±31,896",63.2%,±0.2,"7,144,510","±17,909",68.1%,±0.2,"653,910","±2,209",85.8%,±0.3,"9,452,650","±11,008",80.9%,±0.1,"2,865,785","±9,140",72.4%,±0.2,"3,523,853","±15,385",83.5%,±0.4,"10,193,792","±15,794",79.6%,±0.1,"833,690","±8,299",78.7%,±0.8,"3,434,467","±11,106",66.7%,±0.2,"743,764","±1,684",84.1%,±0.2,"5,272,910","±9,919",77.2%,±0.1,"21,273,326","±44,895",73.4%,±0.2,"2,799,527","±10,987",87.3%,±0.3,"585,117",±951,93.8%,±0.2,"5,714,646","±13,060",67.0%,±0.2,"5,651,091","±16,236",74.2%,±0.2,"1,668,004","±3,236",93.1%,±0.2,"4,963,354","±9,563",85.2%,±0.2,"525,860","±2,716",90.9%,±0.5,"2,054,764","±16,368",64.3%,±0.5
Black or African American,"1,319,551","±8,216",26.9%,±0.2,"22,551","±1,965",3.1%,±0.3,"343,729","±7,680",4.7%,±0.1,"467,468","±6,259",15.5%,±0.2,"2,282,144","±17,125",5.8%,±0.1,"240,538","±6,815",4.2%,±0.1,"396,745","±7,946",11.1%,±0.2,"219,418","±3,974",22.5%,±0.4,"320,704","±4,929",45.4%,±0.7,"3,441,062","±26,501",16.0%,±0.1,"3,390,968","±15,987",31.9%,±0.2,"26,923","±2,003",1.9%,±0.1,"12,708","±2,170",0.7%,±0.1,"1,790,212","±12,139",14.1%,±0.1,"643,105","±8,996",9.6%,±0.1,"129,335","±4,761",4.1%,±0.2,"167,237","±4,802",5.7%,±0.2,"363,167","±7,961",8.1%,±0.2,"1,504,017","±8,676",32.4%,±0.2,"21,983","±2,723",1.6%,±0.2,"1,830,059","±9,860",30.3%,±0.2,"543,629","±9,985",7.9%,±0.1,"1,371,069","±10,424",13.7%,±0.1,"370,291","±8,173",6.6%,±0.1,"1,130,608","±7,506",38.0%,±0.3,"703,058","±8,638",11.5%,±0.1,"7,787","±1,893",0.7%,±0.2,"94,659","±3,635",4.9%,±0.2,"296,184","±5,444",9.6%,±0.2,"22,000","±1,840",1.6%,±0.1,"1,203,843","±10,689",13.6%,±0.1,"48,337","±3,861",2.3%,±0.2,"3,084,304","±17,635",15.9%,±0.1,"2,253,481","±14,903",21.5%,±0.1,"22,256","±2,558",2.9%,±0.3,"1,467,331","±13,248",12.6%,±0.1,"287,414","±6,538",7.3%,±0.2,"77,918","±5,485",1.8%,±0.1,"1,454,753","±14,506",11.4%,±0.1,"78,143","±6,572",7.4%,±0.6,"1,362,917","±8,396",26.5%,±0.2,"20,866","±2,182",2.4%,±0.2,"1,141,304","±8,527",16.7%,±0.1,"3,553,922","±23,163",12.3%,±0.1,"36,918","±2,748",1.2%,±0.1,"9,435","±1,109",1.5%,±0.2,"1,659,908","±12,568",19.4%,±0.1,"305,924","±7,176",4.0%,±0.1,"65,925","±3,478",3.7%,±0.2,"374,747","±5,775",6.4%,±0.1,"7,116","±1,901",1.2%,±0.3,"395,439","±11,148",12.4%,±0.3
American Indian and Alaska Native,"23,265","±3,739",0.5%,±0.1,"115,544","±3,935",15.8%,±0.5,"332,273","±8,619",4.6%,±0.1,"17,216","±2,316",0.6%,±0.1,"321,112","±15,788",0.8%,±0.1,"57,578","±5,575",1.0%,±0.1,"9,052","±1,762",0.3%,±0.1,"4,353","±1,271",0.4%,±0.1,"1,886",±430,0.3%,±0.1,"59,558","±5,844",0.3%,±0.1,"42,316","±7,151",0.4%,±0.1,"6,129","±2,327",0.4%,±0.2,"22,867","±2,684",1.3%,±0.2,"32,600","±4,084",0.3%,±0.1,"18,416","±3,160",0.3%,±0.1,"11,837","±1,622",0.4%,±0.1,"23,860","±3,216",0.8%,±0.1,"8,326","±2,248",0.2%,±0.1,"28,561","±3,185",0.6%,±0.1,"9,419","±1,352",0.7%,±0.1,"19,164","±2,473",0.3%,±0.1,"17,875","±2,162",0.3%,±0.1,"57,785","±3,423",0.6%,±0.1,"57,414","±3,255",1.0%,±0.1,"14,634","±2,075",0.5%,±0.1,"25,516","±3,599",0.4%,±0.1,"67,603","±3,257",6.3%,±0.3,"18,964","±2,059",1.0%,±0.1,"42,426","±4,650",1.4%,±0.2,"1,727",±653,0.1%,±0.1,"18,440","±4,501",0.2%,±0.1,"199,341","±5,549",9.5%,±0.3,"73,560","±6,588",0.4%,±0.1,"126,708","±4,966",1.2%,±0.1,"40,970","±2,364",5.4%,±0.3,"23,544","±3,846",0.2%,±0.1,"316,929","±6,536",8.0%,±0.2,"50,417","±5,533",1.2%,±0.1,"27,088","±3,858",0.2%,±0.1,"3,341",±962,0.3%,±0.1,"18,971","±2,545",0.4%,±0.1,"75,809","±2,831",8.6%,±0.3,"20,431","±2,986",0.3%,±0.1,"144,993","±8,858",0.5%,±0.1,"35,368","±3,443",1.1%,±0.1,"2,928",±839,0.5%,±0.1,"23,388","±3,009",0.3%,±0.1,"103,882","±6,865",1.4%,±0.1,"3,601","±1,396",0.2%,±0.1,"54,577","±2,975",0.9%,±0.1,"13,774","±1,592",2.4%,±0.3,"3,082","±1,232",0.1%,±0.1
Cherokee tribal grouping,N,N,N,N,"1,517",±605,0.2%,±0.1,"1,639",±633,0.0%,±0.1,N,N,N,N,"17,762","±2,929",0.0%,±0.1,"3,502","±1,167",0.1%,±0.1,N,N,N,N,N,N,N,N,N,N,N,N,"8,613","±1,761",0.0%,±0.1,"5,728","±1,600",0.1%,±0.1,636,±387,0.0%,±0.1,472,±343,0.0%,±0.1,"2,794","±1,426",0.0%,±0.1,"3,589","±1,631",0.1%,±0.1,539,±350,0.0%,±0.1,"4,058","±1,077",0.1%,±0.1,N,N,N,N,"1,811",±871,0.0%,±0.1,N,N,N,N,N,N,N,N,751,±612,0.0%,±0.1,"3,392","±1,826",0.0%,±0.1,257,±195,0.0%,±0.1,N,N,N,N,"7,324","±2,062",0.1%,±0.1,34,±58,0.0%,±0.1,"1,148",±717,0.1%,±0.1,"1,145",±539,0.0%,±0.1,N,N,N,N,"1,371",±710,0.0%,±0.1,"1,164","±1,014",0.1%,±0.1,"1,613",±969,0.0%,±0.1,"18,048","±2,060",0.2%,±0.1,575,±622,0.1%,±0.1,"4,217","±1,395",0.0%,±0.1,"125,503","±5,407",3.2%,±0.1,"4,300","±1,744",0.1%,±0.1,"2,792","±1,190",0.0%,±0.1,N,N,N,N,"3,415",±845,0.1%,±0.1,527,±618,0.1%,±0.1,"5,426","±1,684",0.1%,±0.1,"17,847","±3,610",0.1%,±0.1,951,±735,0.0%,±0.1,N,N,N,N,"3,369","±1,153",0.0%,±0.1,"3,419","±1,299",0.0%,±0.1,N,N,N,N,585,±320,0.0%,±0.1,197,±204,0.0%,±0.1,N,N,N,N
Chippewa tribal grouping,N,N,N,N,247,±211,0.0%,±0.1,"1,363","±1,052",0.0%,±0.1,N,N,N,N,"2,599",±929,0.0%,±0.1,656,±373,0.0%,±0.1,N,N,N,N,N,N,N,N,N,N,N,N,"1,794","±1,035",0.0%,±0.1,622,±494,0.0%,±0.1,90,±137,0.0%,±0.1,311,±314,0.0%,±0.1,"1,000",±825,0.0%,±0.1,288,±339,0.0%,±0.1,505,±350,0.0%,±0.1,295,±186,0.0%,±0.1,N,N,N,N,231,±245,0.0%,±0.1,N,N,N,N,N,N,N,N,130,±257,0.0%,±0.1,"26,322","±2,312",0.3%,±0.1,"37,066","±2,879",0.7%,±0.1,N,N,N,N,518,±437,0.0%,±0.1,"4,448","±1,369",0.4%,±0.1,532,±679,0.0%,±0.1,88,±102,0.0%,±0.1,N,N,N,N,77,±112,0.0%,±0.1,134,±189,0.0%,±0.1,450,±436,0.0%,±0.1,522,±392,0.0%,±0.1,"15,955","±2,076",2.1%,±0.3,496,±414,0.0%,±0.1,441,±328,0.0%,±0.1,"1,304",±907,0.0%,±0.1,658,±446,0.0%,±0.1,N,N,N,N,408,±397,0.0%,±0.1,273,±274,0.0%,±0.1,"1,778","±1,645",0.0%,±0.1,630,±406,0.0%,±0.1,85,±122,0.0%,±0.1,N,N,N,N,170,±254,0.0%,±0.1,"2,603","±1,310",0.0%,±0.1,N,N,N,N,"20,131","±2,160",0.3%,±0.1,518,±384,0.1%,±0.1,N,N,N,N
Navajo tribal grouping,N,N,N,N,138,±181,0.0%,±0.1,"160,420","±7,154",2.2%,±0.1,N,N,N,N,"10,301","±3,891",0.0%,±0.1,"10,709","±2,423",0.2%,±0.1,N,N,N,N,N,N,N,N,N,N,N,N,"1,609","±1,144",0.0%,±0.1,644,±568,0.0%,±0.1,141,±134,0.0%,±0.1,"1,427",±801,0.1%,±0.1,778,"±1,005",0.0%,±0.1,299,±266,0.0%,±0.1,353,±289,0.0%,±0.1,"3,195","±1,973",0.1%,±0.1,N,N,N,N,462,±379,0.0%,±0.1,N,N,N,N,N,N,N,N,579,±471,0.0%,±0.1,868,±538,0.0%,±0.1,63,±90,0.0%,±0.1,N,N,N,N,603,±425,0.0%,±0.1,996,±747,0.1%,±0.1,99,±130,0.0%,±0.1,938,±566,0.0%,±0.1,N,N,N,N,34,±56,0.0%,±0.1,"117,331","±4,941",5.6%,±0.2,636,±476,0.0%,±0.1,952,±582,0.0%,±0.1,140,±132,0.0%,±0.1,315,±381,0.0%,±0.1,697,±338,0.0%,±0.1,"1,256",±939,0.0%,±0.1,36,±72,0.0%,±0.1,N,N,N,N,136,±192,0.0%,±0.1,217,±322,0.0%,±0.1,0,±216,0.0%,±0.1,"3,891","±1,486",0.0%,±0.1,"14,071","±1,894",0.4%,±0.1,N,N,N,N,629,±529,0.0%,±0.1,"3,387","±1,464",0.0%,±0.1,N,N,N,N,264,±217,0.0%,±0.1,645,±591,0.1%,±0.1,N,N,N,N
Sioux tribal grouping,N,N,N,N,41,±53,0.0%,±0.1,"1,956","±1,034",0.0%,±0.1,N,N,N,N,"2,897","±1,023",0.0%,±0.1,"2,476","±1,076",0.0%,±0.1,N,N,N,N,N,N,N,N,N,N,N,N,608,±441,0.0%,±0.1,191,±234,0.0%,±0.1,66,±122,0.0%,±0.1,"1,116",±855,0.1%,±0.1,584,±578,0.0%,±0.1,327,±229,0.0%,±0.1,"1,195",±754,0.0%,±0.1,728,±426,0.0%,±0.1,N,N,N,N,282,±474,0.0%,±0.1,N,N,N,N,N,N,N,N,132,±162,0.0%,±0.1,632,±518,0.0%,±0.1,"6,216","±1,353",0.1%,±0.1,N,N,N,N,"1,862",±925,0.0%,±0.1,"1,527",±845,0.1%,±0.1,"5,928","±1,706",0.3%,±0.1,"1,462","±1,002",0.0%,±0.1,N,N,N,N,594,±508,0.0%,±0.1,"1,824",±997,0.1%,±0.1,526,±403,0.0%,±0.1,616,±317,0.0%,±0.1,"12,723","±2,535",1.7%,±0.3,313,±280,0.0%,±0.1,"1,275",±467,0.0%,±0.1,"1,831","±1,189",0.0%,±0.1,544,±417,0.0%,±0.1,N,N,N,N,315,±407,0.0%,±0.1,"60,561","±4,664",6.8%,±0.5,302,±393,0.0%,±0.1,"1,897","±1,082",0.0%,±0.1,716,±690,0.0%,±0.1,N,N,N,N,274,±274,0.0%,±0.1,"1,284",±679,0.0%,±0.1,N,N,N,N,670,±818,0.0%,±0.1,879,±658,0.2%,±0.1,N,N,N,N
Asian,"66,129","±2,481",1.3%,±0.1,"43,678","±2,428",6.0%,±0.3,"241,721","±6,153",3.3%,±0.1,"46,078","±3,621",1.5%,±0.1,"5,865,435","±20,041",14.8%,±0.1,"188,461","±5,845",3.3%,±0.1,"166,393","±3,784",4.7%,±0.1,"36,592","±1,970",3.8%,±0.2,"28,722","±1,390",4.1%,±0.2,"599,799","±8,235",2.8%,±0.1,"439,416","±7,414",4.1%,±0.1,"547,843","±11,078",38.7%,±0.8,"25,969","±3,001",1.5%,±0.2,"717,992","±5,911",5.7%,±0.1,"170,566","±5,401",2.5%,±0.1,"76,134","±3,135",2.4%,±0.1,"87,018","±2,644",3.0%,±0.1,"73,087","±3,588",1.6%,±0.1,"81,506","±4,401",1.8%,±0.1,"15,323","±1,510",1.1%,±0.1,"386,194","±4,864",6.4%,±0.1,"472,895","±5,636",6.9%,±0.1,"327,230","±4,522",3.3%,±0.1,"285,630","±4,528",5.1%,±0.1,"31,154","±3,461",1.0%,±0.1,"127,154","±4,281",2.1%,±0.1,"8,927","±1,287",0.8%,±0.1,"47,740","±2,173",2.5%,±0.1,"261,159","±5,415",8.5%,±0.2,"35,807","±2,393",2.6%,±0.2,"856,561","±7,679",9.6%,±0.1,"36,549","±2,668",1.7%,±0.1,"1,680,219","±9,869",8.6%,±0.1,"309,905","±7,205",3.0%,±0.1,"10,669","±2,355",1.4%,±0.3,"274,585","±5,709",2.3%,±0.1,"89,950","±3,064",2.3%,±0.1,"194,068","±4,722",4.6%,±0.1,"453,662","±6,936",3.5%,±0.1,"37,101","±2,675",3.5%,±0.3,"86,571","±3,010",1.7%,±0.1,"11,530","±2,434",1.3%,±0.3,"125,742","±4,116",1.8%,±0.1,"1,446,073","±11,439",5.0%,±0.1,"76,470","±4,125",2.4%,±0.1,"8,603","±2,541",1.4%,±0.4,"565,643","±6,224",6.6%,±0.1,"684,967","±8,569",9.0%,±0.1,"14,311","±1,712",0.8%,±0.1,"167,420","±4,534",2.9%,±0.1,"4,633","±1,379",0.8%,±0.2,"6,573","±2,492",0.2%,±0.1
Asian Indian,"13,010","±2,938",0.3%,±0.1,671,±478,0.1%,±0.1,"71,377","±6,479",1.0%,±0.1,"11,454","±2,707",0.4%,±0.1,"816,536","±22,825",2.1%,±0.1,"27,463","±3,593",0.5%,±0.1,"60,888","±5,443",1.7%,±0.2,"16,039","±3,139",1.6%,±0.3,"9,305","±1,683",1.3%,±0.2,"177,845","±11,739",0.8%,±0.1,"152,164","±9,791",1.4%,±0.1,"3,014","±1,766",0.2%,±0.1,"2,434","±1,204",0.1%,±0.1,"242,823","±12,230",1.9%,±0.1,"47,401","±7,382",0.7%,±0.1,"14,235","±3,121",0.5%,±0.1,"16,564","±3,488",0.6%,±0.1,"25,357","±4,115",0.6%,±0.1,"14,042","±3,266",0.3%,±0.1,"1,933",±815,0.1%,±0.1,"107,430","±8,379",1.8%,±0.1,"124,952","±8,366",1.8%,±0.1,"116,602","±8,159",1.2%,±0.1,"50,361","±5,874",0.9%,±0.1,"7,131","±2,381",0.2%,±0.1,"32,155","±4,204",0.5%,±0.1,704,±526,0.1%,±0.1,"6,992","±2,047",0.4%,±0.1,"17,102","±4,853",0.6%,±0.2,"11,791","±2,719",0.9%,±0.2,"384,988","±12,436",4.3%,±0.1,"4,154","±1,310",0.2%,±0.1,"372,908","±14,280",1.9%,±0.1,"105,637","±6,614",1.0%,±0.1,638,±513,0.1%,±0.1,"97,858","±8,416",0.8%,±0.1,"14,789","±3,200",0.4%,±0.1,"24,830","±3,514",0.6%,±0.1,"148,419","±9,257",1.2%,±0.1,"7,385","±2,719",0.7%,±0.3,"24,950","±3,997",0.5%,±0.1,652,±556,0.1%,±0.1,"33,243","±5,230",0.5%,±0.1,"483,245","±20,385",1.7%,±0.1,"14,725","±3,932",0.5%,±0.1,"1,890","±1,368",0.3%,±0.2,"153,002","±8,676",1.8%,±0.1,"127,139","±8,943",1.7%,±0.1,"3,480","±1,208",0.2%,±0.1,"36,049","±6,108",0.6%,±0.1,N,N,N,N,N,N,N,N
Chinese,"15,902","±3,265",0.3%,±0.1,"1,778",±703,0.2%,±0.1,"43,182","±4,888",0.6%,±0.1,"7,021","±2,104",0.2%,±0.1,"1,628,249","±29,723",4.1%,±0.1,"38,916","±4,215",0.7%,±0.1,"42,446","±5,144",1.2%,±0.1,"8,283","±1,891",0.9%,±0.2,"7,397","±1,382",1.0%,±0.2,"100,739","±9,343",0.5%,±0.1,"62,181","±7,364",0.6%,±0.1,"53,746","±4,547",3.8%,±0.3,"7,736","±2,251",0.4%,±0.1,"141,359","±9,049",1.1%,±0.1,"34,725","±4,719",0.5%,±0.1,"14,215","±2,979",0.5%,±0.1,"16,485","±2,769",0.6%,±0.1,"10,414","±2,330",0.2%,±0.1,"11,159","±3,254",0.2%,±0.1,"3,555","±1,183",0.3%,±0.1,"84,044","±5,762",1.4%,±0.1,"179,286","±7,799",2.6%,±0.1,"54,705","±4,728",0.5%,±0.1,"27,378","±3,749",0.5%,±0.1,"4,575","±1,465",0.2%,±0.1,"33,349","±3,981",0.5%,±0.1,"2,267",±882,0.2%,±0.1,"5,680","±1,529",0.3%,±0.1,"42,463","±5,572",1.4%,±0.2,"7,811","±2,327",0.6%,±0.2,"151,613","±7,969",1.7%,±0.1,"6,475","±1,715",0.3%,±0.1,"716,683","±16,732",3.7%,±0.1,"51,058","±4,562",0.5%,±0.1,"2,107","±1,163",0.3%,±0.2,"59,478","±6,329",0.5%,±0.1,"9,134","±1,877",0.2%,±0.1,"45,868","±5,280",1.1%,±0.1,"110,827","±8,633",0.9%,±0.1,"7,198","±2,009",0.7%,±0.2,"16,859","±3,480",0.3%,±0.1,"1,475",±774,0.2%,±0.1,"22,441","±4,181",0.3%,±0.1,"222,995","±13,143",0.8%,±0.1,"13,803","±3,021",0.4%,±0.1,"2,538",±842,0.4%,±0.1,"83,238","±6,141",1.0%,±0.1,"162,353","±10,287",2.1%,±0.1,"3,194","±1,136",0.2%,±0.1,"22,622","±2,927",0.4%,±0.1,N,N,N,N,N,N,N,N
