county,SEX AND AGE,total population,male,female,SEX AND AGE!!Total population!!Sex ratio (males per 100 females),SEX AND AGE!!Total population!!Under 5 years,SEX AND AGE!!Total population!!5 to 9 years,SEX AND AGE!!Total population!!10 to 14 years,SEX AND AGE!!Total population!!15 to 19 years,SEX AND AGE!!Total population!!20 to 24 years,SEX AND AGE!!Total population!!25 to 34 years,SEX AND AGE!!Total population!!35 to 44 years,SEX AND AGE!!Total population!!45 to 54 years,SEX AND AGE!!Total population!!55 to 59 years,SEX AND AGE!!Total population!!60 to 64 years,SEX AND AGE!!Total population!!65 to 74 years,SEX AND AGE!!Total population!!75 to 84 years,SEX AND AGE!!Total population!!85 years and over,SEX AND AGE!!Total population!!Median age (years),SEX AND AGE!!Total population!!Under 18 years,SEX AND AGE!!Total population!!16 years and over,SEX AND AGE!!Total population!!18 years and over,SEX AND AGE!!Total population!!21 years and over,SEX AND AGE!!Total population!!62 years and over,SEX AND AGE!!Total population!!65 years and over,SEX AND AGE!!Total population!!18 years and over.1,SEX AND AGE!!Total population!!18 years and over!!Male,SEX AND AGE!!Total population!!18 years and over!!Female,SEX AND AGE!!Total population!!18 years and over!!Sex ratio (males per 100 females),SEX AND AGE!!Total population!!65 years and over.1,SEX AND AGE!!Total population!!65 years and over!!Male,SEX AND AGE!!Total population!!65 years and over!!Female,SEX AND AGE!!Total population!!65 years and over!!Sex ratio (males per 100 females),RACE,race,RACE!!Total population!!One race,RACE!!Total population!!Two or more races,RACE!!Total population!!One race.1,RACE!!Total population!!One race!!White,RACE!!Total population!!One race!!Black or African American,RACE!!Total population!!One race!!American Indian and Alaska Native,RACE!!Total population!!One race!!American Indian and Alaska Native!!Cherokee tribal grouping,RACE!!Total population!!One race!!American Indian and Alaska Native!!Chippewa tribal grouping,RACE!!Total population!!One race!!American Indian and Alaska Native!!Navajo tribal grouping,RACE!!Total population!!One race!!American Indian and Alaska Native!!Sioux tribal grouping,RACE!!Total population!!One race!!Asian,RACE!!Total population!!One race!!Asian!!Asian Indian,RACE!!Total population!!One race!!Asian!!Chinese,RACE!!Total population!!One race!!Asian!!Filipino,RACE!!Total population!!One race!!Asian!!Japanese,RACE!!Total population!!One race!!Asian!!Korean,RACE!!Total population!!One race!!Asian!!Vietnamese,RACE!!Total population!!One race!!Asian!!Other Asian,RACE!!Total population!!One race!!Native Hawaiian and Other Pacific Islander,RACE!!Total population!!One race!!Native Hawaiian and Other Pacific Islander!!Native Hawaiian,RACE!!Total population!!One race!!Native Hawaiian and Other Pacific Islander!!Guamanian or Chamorro,RACE!!Total population!!One race!!Native Hawaiian and Other Pacific Islander!!Samoan,RACE!!Total population!!One race!!Native Hawaiian and Other Pacific Islander!!Other Pacific Islander,RACE!!Total population!!One race!!Some other race,RACE!!Total population!!Two or more races.1,RACE!!Total population!!Two or more races!!White and Black or African American,RACE!!Total population!!Two or more races!!White and American Indian and Alaska Native,RACE!!Total population!!Two or more races!!White and Asian,RACE!!Total population!!Two or more races!!Black or African American and American Indian and Alaska Native,Race alone or in combination with one or more other races,Race alone or in combination with one or more other races!!Total population,white,black or African American,American Indian and Alaska Native,Asian,Race alone or in combination with one or more other races!!Total population!!Native Hawaiian and Other Pacific Islander,Race alone or in combination with one or more other races!!Total population!!Some other race,HISPANIC OR LATINO AND RACE,HISPANIC OR LATINO AND RACE!!Total population,HISPANIC OR LATINO AND RACE!!Total population!!Hispanic or Latino (of any race),HISPANIC OR LATINO AND RACE!!Total population!!Hispanic or Latino (of any race)!!Mexican,HISPANIC OR LATINO AND RACE!!Total population!!Hispanic or Latino (of any race)!!Puerto Rican,HISPANIC OR LATINO AND RACE!!Total population!!Hispanic or Latino (of any race)!!Cuban,HISPANIC OR LATINO AND RACE!!Total population!!Hispanic or Latino (of any race)!!Other Hispanic or Latino,HISPANIC OR LATINO AND RACE!!Total population!!Not Hispanic or Latino,HISPANIC OR LATINO AND RACE!!Total population!!Not Hispanic or Latino!!White alone,HISPANIC OR LATINO AND RACE!!Total population!!Not Hispanic or Latino!!Black or African American alone,HISPANIC OR LATINO AND RACE!!Total population!!Not Hispanic or Latino!!American Indian and Alaska Native alone,HISPANIC OR LATINO AND RACE!!Total population!!Not Hispanic or Latino!!Asian alone,HISPANIC OR LATINO AND RACE!!Total population!!Not Hispanic or Latino!!Native Hawaiian and Other Pacific Islander alone,HISPANIC OR LATINO AND RACE!!Total population!!Not Hispanic or Latino!!Some other race alone,HISPANIC OR LATINO AND RACE!!Total population!!Not Hispanic or Latino!!Two or more races,HISPANIC OR LATINO AND RACE!!Total population!!Not Hispanic or Latino!!Two or more races!!Two races including Some other race,"HISPANIC OR LATINO AND RACE!!Total population!!Not Hispanic or Latino!!Two or more races!!Two races excluding Some other race, and Three or more races",Total housing units,"CITIZEN, VOTING AGE POPULATION","CITIZEN, VOTING AGE POPULATION!!Citizen, 18 and over population","CITIZEN, VOTING AGE POPULATION!!Citizen, 18 and over population!!Male","CITIZEN, VOTING AGE POPULATION!!Citizen, 18 and over population!!Female"
"Colfax County, New Mexico",,"12,168",51.4%,48.6%,105.8,4.8%,6.1%,4.3%,5.1%,4.5%,10.5%,10.1%,10.8%,7.0%,9.7%,16.0%,8.1%,2.9%,50.2,18.4%,83.8%,81.6%,78.9%,33.0%,27.0%,"9,924",50.2%,49.8%,100.9,"3,286",47.0%,53.0%,88.9,,"12,168",95.8%,4.2%,95.8%,85.4%,0.7%,2.0%,0.0%,0.0%,0.5%,0.0%,0.4%,0.0%,0.0%,0.4%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,7.2%,4.2%,0.1%,2.1%,0.5%,0.0%,,"12,168",89.5%,0.9%,4.2%,1.0%,0.1%,8.7%,,"12,168",49.4%,14.6%,0.1%,0.0%,34.7%,50.6%,46.7%,0.7%,0.4%,0.4%,0.0%,0.1%,2.3%,0.0%,2.3%,"10,284",,"9,774",50.1%,49.9%
"Curry County, New Mexico",,"49,732",52.2%,47.8%,109.2,8.2%,7.3%,7.2%,6.7%,9.3%,17.3%,11.8%,9.8%,5.4%,4.9%,6.7%,4.0%,1.6%,31.5,26.6%,76.3%,73.4%,68.8%,15.3%,12.2%,"36,526",52.1%,47.9%,109.0,"6,091",43.8%,56.2%,78.0,,"49,732",94.5%,5.5%,94.5%,66.4%,5.1%,1.0%,0.1%,0.0%,0.3%,0.0%,1.3%,0.1%,0.0%,0.7%,0.1%,0.0%,0.0%,0.3%,0.4%,0.2%,0.1%,0.0%,0.0%,20.4%,5.5%,1.3%,0.5%,0.8%,0.0%,,"49,732",70.9%,7.4%,1.7%,2.5%,0.5%,22.8%,,"49,732",42.2%,31.1%,1.2%,0.0%,9.8%,57.8%,47.6%,5.0%,0.8%,1.3%,0.3%,0.2%,2.7%,0.2%,2.5%,"21,267",,"33,546",52.4%,47.6%
"Doña Ana County, New Mexico",,"216,069",49.1%,50.9%,96.4,6.5%,7.0%,7.1%,7.9%,10.8%,12.9%,10.9%,10.5%,5.6%,5.4%,8.8%,5.0%,1.5%,33.1,24.8%,78.1%,75.2%,69.6%,18.6%,15.3%,"162,455",48.5%,51.5%,94.3,"33,040",46.8%,53.2%,87.9,,"216,069",98.1%,1.9%,98.1%,87.1%,1.8%,1.1%,0.0%,0.0%,0.3%,0.0%,1.1%,0.2%,0.2%,0.3%,0.1%,0.1%,0.1%,0.1%,0.0%,0.0%,0.0%,0.0%,0.0%,6.9%,1.9%,0.4%,0.4%,0.3%,0.1%,,"216,069",88.7%,2.3%,1.9%,1.7%,0.1%,7.4%,,"216,069",68.3%,62.5%,0.3%,0.2%,5.2%,31.7%,27.2%,1.6%,0.7%,1.1%,0.0%,0.1%,1.0%,0.1%,1.0%,"87,897",,"142,039",48.7%,51.3%
"Eddy County, New Mexico",,"57,732",50.5%,49.5%,101.9,7.3%,6.9%,7.9%,6.8%,6.5%,14.3%,12.2%,11.3%,6.5%,5.9%,8.0%,4.2%,2.1%,35.2,26.5%,76.6%,73.5%,69.6%,17.7%,14.3%,"42,410",50.2%,49.8%,100.8,"8,254",45.9%,54.1%,84.8,,"57,732",98.5%,1.5%,98.5%,90.1%,1.6%,1.7%,0.3%,0.0%,0.3%,0.0%,0.5%,0.0%,0.1%,0.2%,0.0%,0.0%,0.0%,0.1%,0.0%,0.0%,0.0%,0.0%,0.0%,4.7%,1.5%,0.3%,0.2%,0.6%,0.0%,,"57,732",91.4%,2.1%,1.9%,1.0%,0.0%,5.1%,,"57,732",49.1%,43.7%,0.3%,0.0%,5.1%,50.9%,46.8%,1.4%,1.4%,0.5%,0.0%,0.0%,0.7%,0.0%,0.7%,"24,576",,"40,163",50.0%,50.0%
"Grant County, New Mexico",,"27,669",49.3%,50.7%,97.4,5.3%,5.3%,5.9%,5.9%,5.4%,10.4%,10.4%,10.2%,6.9%,7.8%,15.5%,7.7%,3.3%,46.4,20.2%,81.8%,79.8%,76.1%,31.0%,26.6%,"22,091",48.4%,51.6%,93.9,"7,347",48.9%,51.1%,95.9,,"27,669",98.5%,1.5%,98.5%,92.6%,1.0%,2.1%,0.0%,0.0%,1.1%,0.0%,0.6%,0.0%,0.0%,0.3%,0.1%,0.0%,0.0%,0.2%,0.0%,0.0%,0.0%,0.0%,0.0%,2.1%,1.5%,0.1%,0.2%,0.2%,0.0%,,"27,669",93.9%,1.4%,2.6%,1.1%,0.0%,2.8%,,"27,669",50.5%,46.4%,0.1%,0.1%,3.9%,49.5%,45.8%,0.9%,1.9%,0.5%,0.0%,0.1%,0.4%,0.0%,0.4%,"15,071",,"21,700",48.4%,51.6%
"Lea County, New Mexico",,"70,277",51.6%,48.4%,106.6,7.9%,8.7%,8.9%,7.7%,6.9%,14.7%,12.6%,11.1%,5.7%,4.9%,6.4%,3.3%,1.3%,31.8,30.1%,73.1%,69.9%,65.9%,13.8%,11.1%,"49,136",51.5%,48.5%,106.4,"7,770",45.0%,55.0%,81.7,,"70,277",98.3%,1.7%,98.3%,88.4%,3.8%,1.0%,0.1%,0.0%,0.3%,0.0%,0.6%,0.1%,0.0%,0.2%,0.0%,0.0%,0.0%,0.3%,0.0%,0.0%,0.0%,0.0%,0.0%,4.4%,1.7%,0.7%,0.3%,0.0%,0.1%,,"70,277",89.8%,4.8%,1.6%,0.7%,0.1%,4.8%,,"70,277",58.7%,55.0%,0.4%,0.6%,2.6%,41.3%,35.4%,3.4%,0.8%,0.6%,0.0%,0.2%,0.9%,0.0%,0.9%,"26,610",,"41,410",51.5%,48.5%
"Lincoln County, New Mexico",,"19,461",49.1%,50.9%,96.4,4.7%,4.8%,5.8%,4.2%,5.1%,9.4%,9.7%,10.9%,7.8%,9.4%,16.9%,8.6%,2.6%,50.9,18.4%,84.3%,81.6%,79.5%,33.9%,28.1%,"15,880",48.4%,51.6%,93.8,"5,475",48.1%,51.9%,92.7,,"19,461",98.8%,1.2%,98.8%,96.8%,0.5%,0.6%,0.1%,0.0%,0.3%,0.0%,0.1%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.1%,0.0%,0.0%,0.0%,0.0%,0.0%,0.8%,1.2%,0.4%,0.2%,0.4%,0.0%,,"19,461",97.9%,0.9%,0.8%,0.5%,0.1%,1.0%,,"19,461",33.2%,29.8%,0.2%,0.0%,3.1%,66.8%,64.9%,0.5%,0.5%,0.1%,0.0%,0.0%,0.8%,0.1%,0.7%,"18,156",,"15,054",49.0%,51.0%
"Los Alamos County, New Mexico",,"18,625",50.8%,49.2%,103.3,5.4%,6.0%,7.4%,6.5%,3.4%,12.1%,12.1%,14.0%,8.5%,7.0%,10.2%,5.0%,2.3%,42.3,22.8%,79.8%,77.2%,73.5%,20.9%,17.5%,"14,379",50.3%,49.7%,101.4,"3,260",47.7%,52.3%,91.1,,"18,625",95.0%,5.0%,95.0%,85.5%,0.6%,1.1%,0.1%,0.0%,0.3%,0.0%,5.0%,1.3%,2.4%,0.3%,0.3%,0.4%,0.0%,0.3%,0.0%,0.0%,0.0%,0.0%,0.0%,2.8%,5.0%,0.7%,0.9%,1.8%,0.0%,,"18,625",90.3%,1.8%,2.1%,7.6%,0.5%,4.0%,,"18,625",18.0%,7.0%,0.0%,0.1%,10.9%,82.0%,71.8%,0.6%,0.9%,5.0%,0.0%,0.0%,3.7%,0.1%,3.6%,"8,384",,"13,768",50.1%,49.9%
"Luna County, New Mexico",,"24,083",49.9%,50.1%,99.7,7.4%,6.6%,8.2%,6.5%,7.3%,11.5%,9.9%,10.5%,6.0%,5.5%,11.2%,7.5%,1.8%,37.1,26.4%,75.8%,73.6%,69.2%,23.7%,20.5%,"17,721",50.0%,50.0%,99.9,"4,939",47.7%,52.3%,91.1,,"24,083",98.7%,1.3%,98.7%,92.3%,1.6%,0.9%,0.0%,0.0%,0.4%,0.0%,0.8%,0.0%,0.1%,0.5%,0.0%,0.2%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,3.1%,1.3%,0.2%,0.4%,0.3%,0.0%,,"24,083",93.4%,1.8%,1.4%,1.2%,0.0%,3.5%,,"24,083",67.1%,62.1%,0.2%,0.4%,4.4%,32.9%,29.5%,1.3%,0.7%,0.8%,0.0%,0.0%,0.5%,0.0%,0.5%,"11,287",,"15,074",50.4%,49.6%
"McKinley County, New Mexico",,"72,438",48.3%,51.7%,93.4,7.4%,7.9%,8.8%,7.6%,7.1%,14.5%,11.6%,11.6%,5.6%,5.8%,7.1%,3.4%,1.4%,32.4,29.0%,74.3%,71.0%,66.6%,15.0%,11.9%,"51,456",47.3%,52.7%,89.6,"8,610",41.3%,58.7%,70.5,,"72,438",96.3%,3.7%,96.3%,14.4%,0.7%,75.9%,0.0%,0.0%,60.1%,0.0%,1.1%,0.0%,0.0%,0.7%,0.1%,0.1%,0.2%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,4.2%,3.7%,0.0%,2.3%,0.2%,0.2%,,"72,438",17.1%,1.0%,79.1%,1.4%,0.1%,5.1%,,"72,438",14.2%,8.8%,0.3%,0.0%,5.2%,85.8%,8.6%,0.6%,73.5%,1.0%,0.0%,0.1%,1.9%,0.0%,1.9%,"26,312",,"50,648",47.3%,52.7%
"Otero County, New Mexico",,"66,137",51.7%,48.3%,107.2,6.8%,6.9%,6.1%,6.0%,8.3%,14.7%,11.2%,10.8%,6.3%,5.9%,9.7%,5.6%,1.7%,35.8,23.4%,79.3%,76.6%,73.3%,20.9%,17.0%,"50,691",51.8%,48.2%,107.4,"11,248",47.5%,52.5%,90.5,,"66,137",96.6%,3.4%,96.6%,79.1%,3.5%,6.8%,0.1%,0.0%,0.3%,0.1%,1.3%,0.1%,0.3%,0.6%,0.1%,0.1%,0.1%,0.1%,0.2%,0.1%,0.1%,0.0%,0.0%,5.6%,3.4%,1.1%,0.8%,0.4%,0.0%,,"66,137",82.3%,5.0%,7.9%,2.1%,0.6%,6.1%,,"66,137",38.3%,32.4%,0.5%,0.3%,5.0%,61.7%,48.9%,3.2%,6.1%,1.2%,0.1%,0.1%,2.1%,0.1%,2.0%,"31,745",,"46,079",50.8%,49.2%
"Quay County, New Mexico",,"8,326",47.8%,52.2%,91.4,5.9%,7.8%,6.1%,5.0%,4.0%,11.3%,12.0%,8.6%,8.4%,6.7%,14.2%,7.7%,2.4%,43.4,22.7%,78.9%,77.3%,74.9%,29.2%,24.3%,"6,438",48.6%,51.4%,94.4,"2,021",46.9%,53.1%,88.2,,"8,326",98.7%,1.3%,98.7%,88.6%,1.7%,1.9%,0.1%,0.0%,0.7%,0.0%,0.9%,0.0%,0.0%,0.7%,0.0%,0.2%,0.0%,0.0%,0.2%,0.0%,0.0%,0.0%,0.2%,5.5%,1.3%,0.0%,0.3%,0.7%,0.0%,,"8,326",89.8%,1.8%,2.3%,1.7%,0.3%,5.7%,,"8,326",45.3%,28.5%,0.1%,0.0%,16.7%,54.7%,49.6%,1.6%,1.4%,0.6%,0.2%,0.2%,1.1%,0.1%,1.0%,"5,690",,"6,257",48.2%,51.8%
"Rio Arriba County, New Mexico",,"39,159",48.1%,51.9%,92.5,6.5%,6.4%,6.6%,6.5%,5.8%,11.4%,11.1%,12.5%,7.0%,7.6%,10.9%,5.4%,2.3%,41.3,23.5%,79.4%,76.5%,72.0%,23.0%,18.7%,"29,948",48.6%,51.4%,94.7,"7,306",46.0%,54.0%,85.3,,"39,159",97.9%,2.1%,97.9%,53.1%,0.6%,16.3%,0.1%,0.0%,1.7%,0.1%,0.5%,0.0%,0.1%,0.2%,0.0%,0.0%,0.2%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,27.4%,2.1%,0.1%,0.7%,0.1%,0.1%,,"39,159",54.4%,0.9%,17.7%,0.6%,0.1%,28.5%,,"39,159",71.2%,16.7%,0.0%,0.1%,54.4%,28.8%,12.4%,0.4%,14.3%,0.5%,0.0%,0.5%,0.5%,0.1%,0.4%,"20,184",,"29,180",48.9%,51.1%
"Roosevelt County, New Mexico",,"18,888",49.8%,50.2%,99.1,7.0%,7.2%,6.3%,9.0%,13.2%,13.0%,10.0%,10.1%,5.3%,5.0%,7.5%,4.6%,1.8%,30.0,24.4%,78.2%,75.6%,68.1%,16.4%,13.9%,"14,282",49.3%,50.7%,97.4,"2,622",46.3%,53.7%,86.4,,"18,888",95.0%,5.0%,95.0%,75.5%,2.8%,1.0%,0.1%,0.0%,0.3%,0.0%,0.6%,0.2%,0.2%,0.2%,0.0%,0.0%,0.0%,0.1%,0.1%,0.1%,0.0%,0.0%,0.0%,15.0%,5.0%,0.2%,1.2%,1.0%,0.0%,,"18,888",80.4%,3.2%,2.3%,1.8%,0.1%,17.5%,,"18,888",42.1%,33.2%,0.0%,0.5%,8.3%,57.9%,51.8%,2.4%,0.5%,0.5%,0.1%,0.1%,2.4%,0.0%,2.4%,"8,518",,"12,947",49.4%,50.6%
"Sandoval County, New Mexico",,"142,704",49.0%,51.0%,96.1,5.5%,6.6%,7.2%,6.7%,5.4%,12.5%,12.6%,12.6%,6.9%,6.9%,10.8%,4.7%,1.6%,40.1,23.6%,79.3%,76.4%,72.8%,21.2%,17.1%,"109,069",48.3%,51.7%,93.3,"24,400",45.5%,54.5%,83.6,,"142,704",96.1%,3.9%,96.1%,72.1%,2.3%,12.8%,0.0%,0.0%,2.9%,0.2%,1.4%,0.1%,0.2%,0.5%,0.1%,0.1%,0.1%,0.3%,0.2%,0.1%,0.1%,0.0%,0.1%,7.3%,3.9%,0.4%,0.9%,0.8%,0.2%,,"142,704",75.2%,3.1%,14.4%,2.4%,0.4%,8.6%,,"142,704",38.9%,21.4%,0.5%,0.1%,16.9%,61.1%,43.5%,2.1%,12.1%,1.2%,0.1%,0.1%,2.0%,0.1%,2.0%,"56,585",,"106,670",48.3%,51.7%
"San Juan County, New Mexico",,"126,515",49.5%,50.5%,98.2,6.8%,7.5%,8.1%,7.0%,6.1%,13.8%,12.3%,11.3%,6.8%,6.0%,8.3%,4.1%,1.8%,35.4,26.9%,76.3%,73.1%,69.3%,17.8%,14.3%,"92,485",49.0%,51.0%,96.1,"18,029",44.8%,55.2%,81.3,,"126,515",97.0%,3.0%,97.0%,52.3%,0.8%,39.6%,0.0%,0.0%,37.0%,0.1%,0.8%,0.1%,0.1%,0.4%,0.1%,0.0%,0.0%,0.1%,0.1%,0.0%,0.0%,0.0%,0.0%,3.4%,3.0%,0.2%,1.6%,0.2%,0.2%,,"126,515",54.9%,1.4%,41.7%,1.1%,0.1%,4.0%,,"126,515",20.3%,12.2%,0.3%,0.0%,7.8%,79.7%,38.2%,0.7%,38.0%,0.6%,0.1%,0.2%,2.0%,0.0%,1.9%,"51,113",,"90,225",48.8%,51.2%
"San Miguel County, New Mexico",,"27,738",49.8%,50.2%,99.4,4.9%,4.7%,5.4%,7.5%,6.7%,11.3%,10.8%,12.4%,7.2%,8.5%,12.3%,5.8%,2.4%,44.0,19.0%,84.3%,81.0%,76.1%,25.2%,20.6%,"22,457",49.7%,50.3%,98.8,"5,712",46.5%,53.5%,87.0,,"27,738",96.7%,3.3%,96.7%,60.9%,1.3%,1.4%,0.0%,0.0%,0.7%,0.0%,1.2%,0.1%,0.2%,0.0%,0.1%,0.5%,0.3%,0.0%,0.1%,0.0%,0.0%,0.0%,0.0%,31.9%,3.3%,0.9%,0.5%,0.0%,0.1%,,"27,738",63.8%,2.7%,2.5%,1.3%,0.1%,33.3%,,"27,738",77.7%,15.8%,0.3%,0.0%,61.6%,22.3%,17.8%,0.9%,1.0%,1.0%,0.0%,0.0%,1.5%,0.1%,1.4%,"15,984",,"21,829",49.9%,50.1%
"Santa Fe County, New Mexico",,"149,293",48.5%,51.5%,94.1,4.4%,5.1%,5.6%,5.5%,5.3%,11.2%,11.3%,12.7%,7.8%,8.0%,14.9%,6.1%,2.2%,46.3,18.4%,84.0%,81.6%,78.3%,28.2%,23.1%,"121,803",48.1%,51.9%,92.8,"34,538",45.7%,54.3%,84.2,,"149,293",97.2%,2.8%,97.2%,83.8%,1.1%,3.2%,0.0%,0.0%,0.5%,0.0%,1.3%,0.5%,0.3%,0.3%,0.1%,0.1%,0.0%,0.1%,0.1%,0.1%,0.0%,0.0%,0.0%,7.8%,2.8%,0.2%,0.8%,0.5%,0.0%,,"149,293",86.2%,1.5%,4.3%,1.9%,0.2%,8.9%,,"149,293",51.2%,23.2%,0.3%,0.1%,27.6%,48.8%,42.8%,0.9%,2.5%,1.2%,0.1%,0.2%,1.2%,0.1%,1.1%,"72,988",,"111,132",47.6%,52.4%
"Sierra County, New Mexico",,"11,031",49.5%,50.5%,98.1,4.5%,3.8%,5.0%,4.5%,4.0%,6.6%,8.8%,11.2%,7.5%,8.6%,19.3%,12.3%,4.0%,55.7,15.8%,86.0%,84.2%,81.1%,40.1%,35.5%,"9,288",49.3%,50.7%,97.2,"3,921",50.0%,50.0%,100.2,,"11,031",97.4%,2.6%,97.4%,89.8%,0.4%,4.4%,0.0%,0.0%,0.5%,1.1%,0.8%,0.0%,0.0%,0.4%,0.1%,0.0%,0.3%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,2.1%,2.6%,0.1%,1.4%,0.2%,0.0%,,"11,031",92.4%,0.7%,6.1%,1.1%,0.0%,2.7%,,"11,031",30.4%,23.8%,0.0%,0.0%,6.6%,69.6%,64.7%,0.4%,2.0%,0.8%,0.0%,0.2%,1.6%,0.1%,1.4%,"8,555",,"8,979",49.0%,51.0%
"Socorro County, New Mexico",,"16,858",52.3%,47.7%,109.6,4.8%,7.3%,7.1%,7.8%,7.8%,10.5%,10.0%,12.2%,6.2%,7.6%,11.7%,4.2%,2.9%,39.4,22.8%,79.1%,77.2%,70.3%,23.3%,18.9%,"13,015",50.7%,49.3%,102.7,"3,178",49.2%,50.8%,96.7,,"16,858",97.7%,2.3%,97.7%,79.7%,0.6%,12.2%,0.0%,0.0%,10.1%,0.0%,3.3%,0.7%,2.3%,0.0%,0.0%,0.1%,0.0%,0.2%,0.0%,0.0%,0.0%,0.0%,0.0%,1.9%,2.3%,0.3%,1.1%,0.4%,0.2%,,"16,858",81.7%,1.1%,13.6%,3.7%,0.0%,2.2%,,"16,858",49.8%,12.3%,0.2%,0.0%,37.2%,50.2%,34.2%,0.6%,10.5%,3.3%,0.0%,0.0%,1.8%,0.1%,1.7%,"8,234",,"12,309",51.1%,48.9%
"Taos County, New Mexico",,"32,786",49.2%,50.8%,96.9,4.5%,5.4%,5.0%,5.6%,5.3%,9.0%,10.8%,12.5%,7.4%,9.3%,15.5%,7.9%,1.9%,48.8,18.0%,84.1%,82.0%,79.4%,30.2%,25.3%,"26,871",48.9%,51.1%,95.7,"8,280",46.0%,54.0%,85.3,,"32,786",97.7%,2.3%,97.7%,84.4%,0.5%,6.5%,0.0%,0.0%,0.3%,0.0%,0.9%,0.0%,0.0%,0.6%,0.1%,0.0%,0.0%,0.1%,0.0%,0.0%,0.0%,0.0%,0.0%,5.5%,2.3%,0.1%,0.9%,0.3%,0.0%,,"32,786",86.6%,0.9%,7.7%,1.2%,0.0%,6.1%,,"32,786",56.9%,17.7%,0.4%,0.1%,38.7%,43.1%,35.3%,0.2%,5.9%,0.8%,0.0%,0.2%,0.8%,0.0%,0.8%,"20,916",,"25,797",48.5%,51.5%
"Torrance County, New Mexico",,"15,519",53.2%,46.8%,113.5,5.1%,5.7%,6.3%,6.9%,6.7%,10.2%,11.3%,12.1%,8.1%,7.6%,12.8%,6.4%,0.8%,43.6,21.1%,81.1%,78.9%,74.1%,24.5%,20.1%,"12,243",53.2%,46.8%,113.9,"3,120",51.0%,49.0%,103.9,,"15,519",98.6%,1.4%,98.6%,91.0%,0.8%,0.3%,0.0%,0.0%,0.0%,0.0%,0.1%,0.0%,0.0%,0.0%,0.1%,0.1%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,6.3%,1.4%,0.0%,0.6%,0.3%,0.0%,,"15,519",92.4%,0.8%,1.0%,0.4%,0.1%,6.8%,,"15,519",43.1%,16.5%,0.8%,0.1%,25.7%,56.9%,54.7%,0.8%,0.3%,0.1%,0.0%,0.1%,0.8%,0.0%,0.8%,"8,026",,"11,893",52.9%,47.1%
"Valencia County, New Mexico",,"76,027",50.3%,49.7%,101.2,5.7%,6.5%,7.3%,6.8%,6.2%,12.1%,11.7%,12.7%,6.8%,7.1%,10.4%,5.1%,1.7%,38.9,23.7%,79.3%,76.3%,72.2%,21.6%,17.2%,"57,999",49.7%,50.3%,98.9,"13,082",46.9%,53.1%,88.2,,"76,027",96.7%,3.3%,96.7%,83.0%,1.4%,4.3%,0.2%,0.1%,0.9%,0.1%,0.9%,0.0%,0.1%,0.5%,0.0%,0.1%,0.1%,0.1%,0.0%,0.0%,0.0%,0.0%,0.0%,7.0%,3.3%,0.3%,1.0%,0.5%,0.0%,,"76,027",85.9%,1.8%,5.6%,1.6%,0.1%,8.4%,,"76,027",60.6%,32.5%,0.3%,0.3%,27.5%,39.4%,32.6%,1.1%,3.8%,0.5%,0.0%,0.1%,1.4%,0.2%,1.1%,"31,208",,"55,295",49.6%,50.4%
"Albany County, New York",,"306,968",48.4%,51.6%,93.9,5.1%,4.9%,5.3%,7.6%,10.5%,13.1%,11.4%,12.5%,6.6%,6.6%,9.4%,4.6%,2.5%,37.8,18.5%,83.8%,81.5%,74.8%,20.2%,16.5%,"250,068",47.8%,52.2%,91.7,"50,691",42.7%,57.3%,74.4,,"306,968",95.8%,4.2%,95.8%,75.3%,12.4%,0.2%,0.0%,0.0%,0.0%,0.0%,6.6%,1.7%,1.8%,0.6%,0.2%,0.4%,0.2%,1.7%,0.0%,0.0%,0.0%,0.0%,0.0%,1.3%,4.2%,2.1%,0.3%,0.7%,0.2%,,"306,968",79.0%,15.2%,1.0%,7.5%,0.1%,1.7%,,"306,968",6.0%,0.6%,2.7%,0.2%,2.4%,94.0%,72.2%,11.5%,0.1%,6.6%,0.0%,0.2%,3.4%,0.2%,3.3%,"141,553",,"237,094",47.8%,52.2%
