"Label (Grouping)","Total","Total!!Less than $10,000","Total!!$10,000 to $14,999","Total!!$15,000 to $24,999","Total!!$25,000 to $34,999","Total!!$35,000 to $49,999","Total!!$50,000 to $74,999","Total!!$75,000 to $99,999","Total!!$100,000 to $149,999","Total!!$150,000 to $199,999","Total!!$200,000 or more","Median income","Mean income","PERCENT ALLOCATED","PERCENT ALLOCATED!!Household income in the past 12 months","PERCENT ALLOCATED!!Family income in the past 12 months","PERCENT ALLOCATED!!Nonfamily income in the past 12 months"
"    Nonfamily households","","","","","","","","","","","","","","","","",""
"        Estimate","1,270","34.2%","11.0%","18.6%","9.0%","12.4%","10.0%","2.4%","1.9%","0.2%","0.4%","18,220","29,729","","(X)","(X)","40.6%"
"Leslie County, Kentucky","","","","","","","","","","","","","","","","",""
"    Households","","","","","","","","","","","","","","","","",""
"        Estimate","4,076","19.1%","8.7%","14.8%","12.4%","15.8%","16.1%","9.6%","2.5%","0.7%","0.4%","31,627","39,649","","29.5%","(X)","(X)"
"    Families","","","","","","","","","","","","","","","","",""
"        Estimate","2,827","8.2%","8.0%","13.0%","13.8%","18.5%","20.8%","13.2%","2.8%","1.0%","0.5%","40,008","47,697","","(X)","28.8%","(X)"
"    Married-couple families","","","","","","","","","","","","","","","","",""
"        Estimate","2,080","4.8%","6.7%","6.3%","17.3%","20.0%","25.5%","14.3%","3.0%","1.4%","0.7%","42,158","N","","(X)","(X)","(X)"
"    Nonfamily households","","","","","","","","","","","","","","","","",""
"        Estimate","1,249","46.4%","10.6%","18.4%","8.7%","9.5%","5.0%","1.4%","0.0%","0.0%","0.0%","11,185","18,708","","(X)","(X)","30.2%"
"Letcher County, Kentucky","","","","","","","","","","","","","","","","",""
"    Households","","","","","","","","","","","","","","","","",""
"        Estimate","9,721","17.4%","8.0%","17.2%","12.5%","14.1%","13.5%","6.8%","8.3%","0.8%","1.3%","29,886","47,200","","30.5%","(X)","(X)"
"    Families","","","","","","","","","","","","","","","","",""
"        Estimate","6,498","13.3%","6.5%","16.4%","12.1%","14.0%","15.1%","8.4%","11.3%","1.1%","1.7%","36,853","52,518","","(X)","31.8%","(X)"
"    Married-couple families","","","","","","","","","","","","","","","","",""
"        Estimate","4,473","6.0%","3.5%","14.9%","11.8%","14.7%","18.8%","11.3%","15.2%","1.6%","2.2%","48,602","64,147","","(X)","(X)","(X)"
"    Nonfamily households","","","","","","","","","","","","","","","","",""
"        Estimate","3,223","29.4%","10.5%","19.8%","11.9%","14.3%","8.7%","2.3%","2.3%","0.2%","0.7%","18,918","34,228","","(X)","(X)","28.0%"
"Lewis County, Kentucky","","","","","","","","","","","","","","","","",""
"    Households","","","","","","","","","","","","","","","","",""
"        Estimate","5,268","15.4%","8.6%","17.8%","11.0%","12.5%","17.2%","8.0%","5.4%","3.0%","1.1%","31,147","47,765","","43.4%","(X)","(X)"
"    Families","","","","","","","","","","","","","","","","",""
"        Estimate","3,561","9.9%","5.8%","13.6%","11.3%","14.8%","20.8%","10.1%","7.8%","4.3%","1.7%","44,573","58,871","","(X)","43.6%","(X)"
"    Married-couple families","","","","","","","","","","","","","","","","",""
"        Estimate","2,658","5.4%","5.9%","11.2%","8.5%","15.7%","23.6%","12.8%","9.0%","5.8%","2.2%","52,027","N","","(X)","(X)","(X)"
"    Nonfamily households","","","","","","","","","","","","","","","","",""
"        Estimate","1,707","30.3%","14.4%","24.0%","12.2%","9.6%","6.3%","2.6%","0.7%","0.0%","0.0%","16,515","22,263","","(X)","(X)","39.7%"
"Lincoln County, Kentucky","","","","","","","","","","","","","","","","",""
"    Households","","","","","","","","","","","","","","","","",""
"        Estimate","9,697","8.9%","6.4%","12.7%","11.5%","16.8%","19.1%","13.0%","8.6%","1.5%","1.5%","42,919","54,753","","36.3%","(X)","(X)"
"    Families","","","","","","","","","","","","","","","","",""
"        Estimate","6,780","5.2%","3.2%","10.9%","11.4%","17.0%","21.6%","15.5%","11.2%","2.1%","1.8%","51,358","61,481","","(X)","36.8%","(X)"
"    Married-couple families","","","","","","","","","","","","","","","","",""
"        Estimate","5,385","3.2%","2.9%","10.6%","9.6%","15.9%","22.5%","18.7%","11.9%","2.6%","2.1%","56,722","N","","(X)","(X)","(X)"
"    Nonfamily households","","","","","","","","","","","","","","","","",""
"        Estimate","2,917","19.1%","13.1%","17.2%","13.7%","17.7%","11.7%","5.6%","1.5%","0.0%","0.3%","25,270","35,231","","(X)","(X)","31.9%"
"Livingston County, Kentucky","","","","","","","","","","","","","","","","",""
"    Households","","","","","","","","","","","","","","","","",""
"        Estimate","3,857","8.7%","4.9%","12.3%","11.6%","11.8%","26.8%","11.3%","9.6%","1.1%","1.9%","50,839","64,268","","39.2%","(X)","(X)"
"    Families","","","","","","","","","","","","","","","","",""
"        Estimate","2,511","5.6%","2.4%","9.3%","10.8%","11.9%","28.2%","14.7%","13.8%","1.7%","1.7%","58,276","67,184","","(X)","41.1%","(X)"
"    Married-couple families","","","","","","","","","","","","","","","","",""
"        Estimate","2,057","0.7%","2.1%","7.0%","11.9%","10.0%","31.5%","16.8%","16.8%","1.3%","2.0%","63,410","N","","(X)","(X)","(X)"
"    Nonfamily households","","","","","","","","","","","","","","","","",""
"        Estimate","1,346","14.4%","9.6%","18.9%","13.1%","10.7%","24.1%","4.8%","1.9%","0.0%","2.5%","30,618","58,615","","(X)","(X)","35.7%"
"Logan County, Kentucky","","","","","","","","","","","","","","","","",""
"    Households","","","","","","","","","","","","","","","","",""
"        Estimate","10,418","8.0%","8.0%","9.5%","11.6%","15.1%","18.9%","14.8%","10.1%","1.8%","2.2%","48,014","60,451","","35.1%","(X)","(X)"
"    Families","","","","","","","","","","","","","","","","",""
"        Estimate","7,081","4.3%","5.3%","6.0%","11.1%","14.5%","22.2%","18.9%","12.7%","2.6%","2.6%","57,173","68,227","","(X)","36.4%","(X)"
"    Married-couple families","","","","","","","","","","","","","","","","",""
"        Estimate","5,365","1.7%","1.7%","3.2%","9.9%","14.3%","23.7%","22.7%","16.3%","3.1%","3.2%","69,252","N","","(X)","(X)","(X)"
"    Nonfamily households","","","","","","","","","","","","","","","","",""
"        Estimate","3,337","16.4%","14.9%","16.2%","12.7%","18.0%","12.0%","5.7%","2.6%","0.0%","1.5%","26,257","41,717","","(X)","(X)","30.9%"
"Lyon County, Kentucky","","","","","","","","","","","","","","","","",""
"    Households","","","","","","","","","","","","","","","","",""
"        Estimate","3,333","6.5%","5.9%","13.3%","9.7%","13.8%","23.8%","9.5%","10.4%","5.6%","1.5%","52,528","64,743","","43.7%","(X)","(X)"
"    Families","","","","","","","","","","","","","","","","",""
"        Estimate","2,024","3.1%","3.1%","6.1%","8.8%","17.3%","26.9%","12.3%","13.7%","6.4%","2.4%","63,254","78,061","","(X)","46.6%","(X)"
"    Married-couple families","","","","","","","","","","","","","","","","",""
"        Estimate","1,680","1.4%","3.0%","4.5%","8.9%","18.3%","27.3%","13.6%","16.1%","5.2%","1.8%","65,284","N","","(X)","(X)","(X)"
"    Nonfamily households","","","","","","","","","","","","","","","","",""
"        Estimate","1,309","12.5%","10.2%","24.1%","10.8%","8.5%","19.1%","6.3%","4.2%","4.3%","0.2%","29,313","43,766","","(X)","(X)","39.0%"
"McCracken County, Kentucky","","","","","","","","","","","","","","","","",""
"    Households","","","","","","","","","","","","","","","","",""
"        Estimate","27,854","6.4%","7.2%","13.7%","11.8%","13.6%","16.8%","11.1%","11.3%","3.9%","4.2%","46,080","73,816","","38.8%","(X)","(X)"
"    Families","","","","","","","","","","","","","","","","",""
"        Estimate","16,241","3.8%","3.6%","7.0%","10.1%","13.2%","19.5%","14.7%","16.9%","5.3%","5.9%","65,019","92,783","","(X)","36.1%","(X)"
"    Married-couple families","","","","","","","","","","","","","","","","",""
"        Estimate","12,147","1.1%","1.8%","3.3%","6.6%","13.4%","20.4%","19.0%","20.4%","7.0%","7.0%","78,136","N","","(X)","(X)","(X)"
"    Nonfamily households","","","","","","","","","","","","","","","","",""
"        Estimate","11,613","11.2%","12.3%","23.4%","14.5%","14.3%","12.9%","5.0%","2.9%","1.8%","1.7%","26,594","45,415","","(X)","(X)","41.5%"
"McCreary County, Kentucky","","","","","","","","","","","","","","","","",""
"    Households","","","","","","","","","","","","","","","","",""
"        Estimate","6,052","15.6%","11.3%","19.5%","15.4%","9.7%","15.5%","6.1%","5.5%","0.7%","0.7%","28,105","39,988","","33.4%","(X)","(X)"
"    Families","","","","","","","","","","","","","","","","",""
"        Estimate","4,287","11.1%","7.5%","16.2%","15.9%","12.5%","19.2%","8.2%","7.5%","0.9%","1.0%","34,659","48,090","","(X)","35.6%","(X)"
"    Married-couple families","","","","","","","","","","","","","","","","",""
"        Estimate","3,356","7.8%","6.8%","12.9%","18.8%","14.4%","20.3%","10.5%","6.6%","0.7%","1.2%","36,860","N","","(X)","(X)","(X)"
"    Nonfamily households","","","","","","","","","","","","","","","","",""
"        Estimate","1,765","29.2%","21.2%","25.9%","12.5%","2.9%","7.3%","0.8%","0.0%","0.0%","0.0%","14,846","18,805","","(X)","(X)","28.2%"
"McLean County, Kentucky","","","","","","","","","","","","","","","","",""
"    Households","","","","","","","","","","","","","","","","",""
"        Estimate","3,809","8.4%","6.4%","12.0%","7.4%","12.4%","21.8%","12.2%","13.4%","4.9%","1.2%","51,861","62,656","","35.5%","(X)","(X)"
"    Families","","","","","","","","","","","","","","","","",""
"        Estimate","2,753","7.0%","3.3%","8.4%","5.2%","12.2%","22.4%","16.2%","17.4%","6.5%","1.6%","64,470","73,571","","(X)","33.3%","(X)"
"    Married-couple families","","","","","","","","","","","","","","","","",""
"        Estimate","2,254","2.3%","2.0%","5.9%","5.2%","10.3%","25.1%","18.6%","21.0%","7.5%","2.0%","73,021","N","","(X)","(X)","(X)"
"    Nonfamily households","","","","","","","","","","","","","","","","",""
"        Estimate","1,056","14.3%","16.5%","22.8%","13.4%","9.8%","17.8%","1.9%","2.8%","0.7%","0.0%","22,683","31,836","","(X)","(X)","39.2%"
"Madison County, Kentucky","","","","","","","","","","","","","","","","",""
"    Households","","","","","","","","","","","","","","","","",""
"        Estimate","33,359","8.6%","6.1%","11.9%","9.7%","13.6%","17.3%","12.8%","13.2%","3.9%","2.9%","50,060","67,153","","29.8%","(X)","(X)"
"    Families","","","","","","","","","","","","","","","","",""
"        Estimate","21,182","5.4%","2.9%","8.8%","7.1%","12.7%","19.1%","16.0%","18.1%","5.6%","4.4%","66,615","82,662","","(X)","29.2%","(X)"
"    Married-couple families","","","","","","","","","","","","","","","","",""
"        Estimate","15,855","1.7%","1.5%","5.6%","6.3%","10.6%","19.6%","19.4%","22.9%","6.9%","5.5%","79,697","94,964","","(X)","(X)","(X)"
"    Nonfamily households","","","","","","","","","","","","","","","","",""
"        Estimate","12,177","16.3%","12.0%","18.7%","13.9%","14.8%","13.9%","5.8%","3.7%","0.8%","0.2%","26,789","37,188","","(X)","(X)","29.5%"
"Magoffin County, Kentucky","","","","","","","","","","","","","","","","",""
"    Households","","","","","","","","","","","","","","","","",""
"        Estimate","5,020","17.1%","8.6%","19.9%","14.1%","12.3%","14.1%","6.9%","4.5%","1.7%","0.9%","28,147","43,655","","36.6%","(X)","(X)"
"    Families","","","","","","","","","","","","","","","","",""
"        Estimate","3,513","12.7%","5.9%","16.9%","13.4%","15.7%","17.0%","9.1%","5.7%","2.5%","1.2%","35,823","51,100","","(X)","39.0%","(X)"
"    Married-couple families","","","","","","","","","","","","","","","","",""
"        Estimate","2,574","7.7%","5.7%","14.2%","12.9%","17.8%","19.6%","11.6%","5.8%","3.4%","1.3%","41,557","N","","(X)","(X)","(X)"
"    Nonfamily households","","","","","","","","","","","","","","","","",""
"        Estimate","1,507","31.1%","14.0%","26.7%","14.6%","3.2%","7.1%","1.4%","1.7%","0.0%","0.2%","16,350","24,897","","(X)","(X)","30.2%"
"Marion County, Kentucky","","","","","","","","","","","","","","","","",""
"    Households","","","","","","","","","","","","","","","","",""
"        Estimate","7,405","8.5%","8.1%","11.6%","16.3%","14.6%","16.2%","10.6%","10.4%","2.0%","1.7%","40,107","55,942","","43.9%","(X)","(X)"
"    Families","","","","","","","","","","","","","","","","",""
"        Estimate","4,442","4.0%","5.4%","7.5%","14.4%","13.3%","19.4%","14.0%","16.2%","3.4%","2.4%","57,225","70,704","","(X)","43.8%","(X)"
"    Married-couple families","","","","","","","","","","","","","","","","",""
"        Estimate","3,162","1.5%","2.6%","5.1%","9.9%","13.5%","20.0%","17.9%","21.5%","4.8%","3.2%","71,789","N","","(X)","(X)","(X)"
"    Nonfamily households","","","","","","","","","","","","","","","","",""
"        Estimate","2,963","16.3%","13.8%","17.7%","20.1%","15.0%","9.6%","5.7%","1.2%","0.0%","0.6%","26,402","31,994","","(X)","(X)","42.4%"
"Marshall County, Kentucky","","","","","","","","","","","","","","","","",""
"    Households","","","","","","","","","","","","","","","","",""
"        Estimate","13,121","6.3%","5.6%","10.5%","10.7%","12.5%","18.0%","14.0%","15.2%","3.8%","3.4%","55,113","70,833","","38.6%","(X)","(X)"
"    Families","","","","","","","","","","","","","","","","",""
"        Estimate","8,980","3.8%","1.3%","6.8%","8.7%","12.3%","17.7%","18.3%","21.4%","5.1%","4.7%","74,268","86,743","","(X)","37.4%","(X)"
"    Married-couple families","","","","","","","","","","","","","","","","",""
"        Estimate","7,171","2.1%","0.8%","4.6%","7.2%","11.1%","19.4%","20.4%","23.1%","6.3%","5.0%","80,915","N","","(X)","(X)","(X)"
"    Nonfamily households","","","","","","","","","","","","","","","","",""
"        Estimate","4,141","13.2%","14.9%","18.4%","15.9%","13.6%","16.6%","4.7%","1.7%","0.6%","0.3%","27,152","34,012","","(X)","(X)","40.7%"
"Martin County, Kentucky","","","","","","","","","","","","","","","","",""
"    Households","","","","","","","","","","","","","","","","",""
"        Estimate","4,153","14.2%","5.2%","14.3%","9.0%","18.7%","17.7%","8.9%","10.1%","1.6%","0.4%","41,013","49,051","","32.4%","(X)","(X)"
"    Families","","","","","","","","","","","","","","","","",""
"        Estimate","2,805","9.5%","5.1%","10.4%","7.3%","21.6%","21.3%","12.3%","9.8%","2.1%","0.6%","47,237","55,402","","(X)","31.5%","(X)"
"    Married-couple families","","","","","","","","","","","","","","","","",""
"        Estimate","2,337","7.8%","3.8%","9.4%","4.8%","23.1%","21.4%","14.7%","11.6%","2.6%","0.7%","51,094","N","","(X)","(X)","(X)"
"    Nonfamily households","","","","","","","","","","","","","","","","",""
"        Estimate","1,348","27.8%","5.0%","20.0%","11.1%","15.7%","7.1%","1.9%","10.8%","0.5%","0.0%","23,895","34,314","","(X)","(X)","31.2%"
"Mason County, Kentucky","","","","","","","","","","","","","","","","",""
"    Households","","","","","","","","","","","","","","","","",""
"        Estimate","6,700","9.7%","6.5%","13.5%","12.0%","11.9%","13.3%","11.6%","12.5%","5.5%","3.4%","45,377","70,046","","41.0%","(X)","(X)"
"    Families","","","","","","","","","","","","","","","","",""
"        Estimate","4,455","4.8%","4.0%","7.0%","12.6%","12.2%","16.3%","14.1%","16.4%","8.2%","4.5%","62,849","83,621","","(X)","40.4%","(X)"
"    Married-couple families","","","","","","","","","","","","","","","","",""
"        Estimate","3,307","2.5%","0.5%","5.3%","10.3%","11.6%","17.1%","15.2%","20.9%","11.0%","5.7%","78,254","N","","(X)","(X)","(X)"
"    Nonfamily households","","","","","","","","","","","","","","","","",""
"        Estimate","2,245","22.6%","10.7%","25.5%","10.2%","12.5%","8.0%","4.9%","3.9%","0.3%","1.2%","20,441","40,923","","(X)","(X)","39.3%"
"Meade County, Kentucky","","","","","","","","","","","","","","","","",""
"    Households","","","","","","","","","","","","","","","","",""
"        Estimate","10,685","5.7%","4.8%","7.1%","9.5%","13.9%","21.0%","13.8%","17.5%","4.8%","1.9%","56,603","72,177","","26.9%","(X)","(X)"
"    Families","","","","","","","","","","","","","","","","",""
"        Estimate","7,674","4.7%","2.3%","4.1%","9.6%","12.1%","20.4%","16.4%","22.2%","5.8%","2.5%","72,298","81,511","","(X)","24.7%","(X)"
"    Married-couple families","","","","","","","","","","","","","","","","",""
"        Estimate","6,453","1.8%","1.5%","3.6%","8.5%","11.8%","18.8%","19.1%","25.5%","6.9%","2.5%","79,936","N","","(X)","(X)","(X)"
"    Nonfamily households","","","","","","","","","","","","","","","","",""
"        Estimate","3,011","10.0%","11.6%","14.5%","9.9%","18.7%","20.9%","6.5%","5.2%","2.1%","0.5%","38,268","46,777","","(X)","(X)","31.1%"
"Menifee County, Kentucky","","","","","","","","","","","","","","","","",""
"    Households","","","","","","","","","","","","","","","","",""
"        Estimate","2,651","12.1%","8.5%","10.2%","13.8%","16.7%","18.7%","11.7%","6.5%","1.8%","0.0%","39,325","47,917","","48.2%","(X)","(X)"
"    Families","","","","","","","","","","","","","","","","",""
"        Estimate","1,709","6.4%","2.6%","5.9%","14.3%","20.3%","23.5%","14.8%","9.4%","2.8%","0.0%","50,494","58,456","","(X)","46.2%","(X)"
"    Married-couple families","","","","","","","","","","","","","","","","",""
"        Estimate","1,436","2.4%","2.6%","6.5%","11.6%","20.2%","24.9%","17.4%","11.0%","3.3%","0.0%","58,944","N","","(X)","(X)","(X)"
"    Nonfamily households","","","","","","","","","","","","","","","","",""
"        Estimate","942","24.9%","19.4%","15.9%","13.3%","10.2%","10.0%","5.0%","1.3%","0.0%","0.0%","18,694","27,735","","(X)","(X)","50.3%"
"Mercer County, Kentucky","","","","","","","","","","","","","","","","",""
"    Households","","","","","","","","","","","","","","","","",""
"        Estimate","8,556","6.9%","6.2%","10.5%","9.5%","12.8%","20.0%","12.6%","16.2%","2.9%","2.4%","55,093","66,500","","33.2%","(X)","(X)"
"    Families","","","","","","","","","","","","","","","","",""
"        Estimate","5,922","5.3%","1.7%","6.6%","9.2%","12.8%","19.1%","16.9%","21.6%","3.6%","3.2%","67,521","77,988","","(X)","31.7%","(X)"
"    Married-couple families","","","","","","","","","","","","","","","","",""
"        Estimate","4,631","2.1%","1.8%","5.5%","6.1%","11.7%","20.1%","19.5%","25.5%","4.0%","3.8%","77,278","N","","(X)","(X)","(X)"
"    Nonfamily households","","","","","","","","","","","","","","","","",""
"        Estimate","2,634","14.5%","15.7%","19.0%","12.5%","12.9%","18.1%","2.1%","4.4%","0.4%","0.3%","25,880","35,710","","(X)","(X)","32.4%"
"Metcalfe County, Kentucky","","","","","","","","","","","","","","","","",""
"    Households","","","","","","","","","","","","","","","","",""
"        Estimate","4,074","11.1%","9.7%","17.7%","8.9%","17.7%","13.7%","11.8%","6.4%","2.0%","0.9%","37,386","47,093","","37.8%","(X)","(X)"
"    Families","","","","","","","","","","","","","","","","",""
"        Estimate","2,924","6.9%","8.9%","12.6%","10.6%","19.7%","17.0%","13.3%","7.3%","2.8%","1.0%","43,978","53,195","","(X)","37.0%","(X)"
"    Married-couple families","","","","","","","","","","","","","","","","",""
"        Estimate","2,339","4.8%","7.8%","14.6%","7.6%","15.8%","20.1%","16.0%","9.1%","3.2%","1.2%","49,684","N","","(X)","(X)","(X)"
"    Nonfamily households","","","","","","","","","","","","","","","","",""
"        Estimate","1,150","23.7%","11.0%","31.7%","7.7%","12.1%","7.7%","3.0%","2.3%","0.0%","0.9%","18,522","27,330","","(X)","(X)","37.5%"
"Monroe County, Kentucky","","","","","","","","","","","","","","","","",""
"    Households","","","","","","","","","","","","","","","","",""
"        Estimate","4,491","11.4%","11.6%","13.9%","13.2%","11.3%","16.2%","7.9%","8.6%","3.4%","2.5%","34,879","55,109","","41.2%","(X)","(X)"
"    Families","","","","","","","","","","","","","","","","",""
"        Estimate","2,841","5.9%","5.7%","8.4%","14.0%","12.0%","22.5%","10.8%","11.5%","5.4%","3.7%","52,704","70,102","","(X)","43.0%","(X)"
"    Married-couple families","","","","","","","","","","","","","","","","",""
"        Estimate","2,149","2.6%","1.4%","6.1%","14.1%","12.3%","24.4%","12.9%","14.8%","6.4%","4.9%","63,608","N","","(X)","(X)","(X)"
"    Nonfamily households","","","","","","","","","","","","","","","","",""
"        Estimate","1,650","20.7%","23.0%","23.2%","11.0%","10.2%","5.1%","2.8%","3.6%","0.0%","0.3%","17,080","28,910","","(X)","(X)","38.0%"
"Montgomery County, Kentucky","","","","","","","","","","","","","","","","",""
"    Households","","","","","","","","","","","","","","","","",""
"        Estimate","10,481","7.4%","5.7%","12.0%","10.4%","16.6%","21.0%","14.7%","9.0%","1.8%","1.5%","45,516","57,732","","41.4%","(X)","(X)"
"    Families","","","","","","","","","","","","","","","","",""
"        Estimate","7,443","4.8%","3.8%","11.0%","10.2%","13.2%","23.2%","18.3%","11.0%","2.4%","2.1%","58,294","65,964","","(X)","40.7%","(X)"
"    Married-couple families","","","","","","","","","","","","","","","","",""
"        Estimate","5,249","1.4%","1.6%","7.1%","8.2%","12.7%","25.3%","22.8%","14.9%","3.4%","2.7%","68,543","N","","(X)","(X)","(X)"
"    Nonfamily households","","","","","","","","","","","","","","","","",""
"        Estimate","3,038","15.8%","12.5%","16.9%","12.8%","23.0%","12.2%","4.0%","2.4%","0.3%","0.0%","28,506","32,735","","(X)","(X)","41.9%"
"Morgan County, Kentucky","","","","","","","","","","","","","","","","",""
"    Households","","","","","","","","","","","","","","","","",""
"        Estimate","4,865","12.1%","9.2%","15.3%","12.1%","14.0%","16.9%","9.9%","7.8%","1.1%","1.6%","36,134","49,961","","41.7%","(X)","(X)"
"    Families","","","","","","","","","","","","","","","","",""
"        Estimate","3,268","8.4%","4.7%","13.7%","9.9%","15.1%","19.8%","13.2%","11.2%","1.6%","2.3%","47,336","61,186","","(X)","42.2%","(X)"
"    Married-couple families","","","","","","","","","","","","","","","","",""
"        Estimate","2,473","3.3%","5.1%","10.7%","9.9%","13.8%","22.4%","16.7%","13.0%","1.9%","3.1%","55,750","N","","(X)","(X)","(X)"
"    Nonfamily households","","","","","","","","","","","","","","","","",""
"        Estimate","1,597","21.9%","18.3%","19.2%","16.0%","11.3%","10.0%","2.6%","0.8%","0.0%","0.0%","18,387","25,605","","(X)","(X)","40.5%"
"Muhlenberg County, Kentucky","","","","","","","","","","","","","","","","",""
"    Households","","","","","","","","","","","","","","","","",""
"        Estimate","11,351","7.8%","7.5%","11.7%","13.5%","15.6%","18.9%","10.2%","10.4%","2.7%","1.6%","43,590","57,437","","42.3%","(X)","(X)"
"    Families","","","","","","","","","","","","","","","","",""
"        Estimate","8,047","4.8%","3.2%","8.0%","11.7%","18.6%","22.3%","12.4%","13.6%","3.5%","1.8%","55,724","66,825","","(X)","43.4%","(X)"
"    Married-couple families","","","","","","","","","","","","","","","","",""
"        Estimate","6,440","3.1%","1.6%","5.0%","9.6%","20.1%","24.1%","13.4%","16.6%","4.2%","2.2%","61,064","N","","(X)","(X)","(X)"
"    Nonfamily households","","","","","","","","","","","","","","","","",""
"        Estimate","3,304","15.2%","18.9%","22.1%","18.1%","8.5%","9.4%","3.9%","1.9%","0.9%","1.1%","21,793","32,775","","(X)","(X)","38.6%"
"Nelson County, Kentucky","","","","","","","","","","","","","","","","",""
"    Households","","","","","","","","","","","","","","","","",""
"        Estimate","17,853","4.0%","3.1%","9.6%","9.6%","14.2%","22.1%","14.1%","14.8%","4.7%","3.7%","60,127","82,718","","39.7%","(X)","(X)"
"    Families","","","","","","","","","","","","","","","","",""
"        Estimate","12,243","2.6%","1.8%","5.3%","6.9%","13.3%","22.4%","17.4%","19.5%","6.5%","4.3%","72,320","91,072","","(X)","38.6%","(X)"
"    Married-couple families","","","","","","","","","","","","","","","","",""
"        Estimate","9,547","0.8%","0.2%","3.2%","5.8%","11.2%","22.1%","20.7%","23.1%","7.5%","5.4%","81,739","103,018","","(X)","(X)","(X)"
"    Nonfamily households","","","","","","","","","","","","","","","","",""
"        Estimate","5,610","8.1%","6.6%","19.7%","14.8%","18.1%","20.0%","7.2%","2.4%","1.3%","1.8%","35,478","61,076","","(X)","(X)","39.8%"
"Nicholas County, Kentucky","","","","","","","","","","","","","","","","",""
"    Households","","","","","","","","","","","","","","","","",""
"        Estimate","2,804","8.9%","6.3%","13.9%","18.9%","13.4%","14.2%","9.4%","10.5%","2.7%","2.0%","38,149","55,681","","34.0%","(X)","(X)"
"    Families","","","","","","","","","","","","","","","","",""
"        Estimate","1,939","5.2%","2.0%","12.0%","18.6%","13.8%","18.9%","12.4%","11.5%","3.4%","2.3%","48,851","62,957","","(X)","29.3%","(X)"
"    Married-couple families","","","","","","","","","","","","","","","","",""
"        Estimate","1,325","0.7%","1.2%","11.1%","18.3%","11.0%","21.7%","11.8%","16.4%","5.0%","2.9%","56,199","N","","(X)","(X)","(X)"
"    Nonfamily households","","","","","","","","","","","","","","","","",""
"        Estimate","865","22.1%","16.0%","18.7%","16.3%","12.9%","9.0%","2.1%","1.5%","0.2%","1.2%","20,851","32,774","","(X)","(X)","41.3%"
"Ohio County, Kentucky","","","","","","","","","","","","","","","","",""
"    Households","","","","","","","","","","","","","","","","",""
"        Estimate","9,122","9.5%","4.6%","10.7%","12.5%","17.9%","18.8%","11.2%","10.8%","2.0%","1.9%","45,564","62,237","","38.9%","(X)","(X)"
"    Families","","","","","","","","","","","","","","","","",""
"        Estimate","6,523","6.9%","1.9%","7.5%","13.0%","19.7%","19.9%","13.8%","12.3%","2.6%","2.5%","51,270","70,939","","(X)","37.8%","(X)"
"    Married-couple families","","","","","","","","","","","","","","","","",""
"        Estimate","4,872","2.4%","1.1%","6.3%","11.5%","19.5%","22.3%","15.9%","15.5%","3.2%","2.1%","57,472","N","","(X)","(X)","(X)"
"    Nonfamily households","","","","","","","","","","","","","","","","",""
"        Estimate","2,599","19.0%","12.2%","18.0%","13.4%","16.9%","12.6%","3.6%","3.7%","0.0%","0.6%","25,434","34,870","","(X)","(X)","39.2%"
"Oldham County, Kentucky","","","","","","","","","","","","","","","","",""
"    Households","","","","","","","","","","","","","","","","",""
"        Estimate","20,911","2.3%","1.9%","5.1%","5.3%","7.9%","14.4%","13.5%","22.9%","10.3%","16.5%","99,128","128,725","","30.6%","(X)","(X)"
"    Families","","","","","","","","","","","","","","","","",""
"        Estimate","17,195","1.5%","1.5%","2.5%","3.6%","5.7%","13.8%","13.6%","26.4%","12.0%","19.4%","112,562","142,783","","(X)","31.5%","(X)"
"    Married-couple families","","","","","","","","","","","","","","","","",""
"        Estimate","14,662","0.8%","0.8%","1.2%","2.3%","5.3%","12.4%","12.7%","29.1%","13.6%","21.9%","123,360","N","","(X)","(X)","(X)"
"    Nonfamily households","","","","","","","","","","","","","","","","",""
"        Estimate","3,716","7.1%","4.5%","16.4%","15.2%","19.2%","17.4%","10.4%","5.4%","1.7%","2.9%","40,521","58,594","","(X)","(X)","25.0%"
"Owen County, Kentucky","","","","","","","","","","","","","","","","",""
"    Households","","","","","","","","","","","","","","","","",""
"        Estimate","3,995","8.4%","8.0%","13.7%","10.9%","9.9%","18.4%","8.7%","13.9%","3.4%","4.6%","48,801","68,307","","36.6%","(X)","(X)"
"    Families","","","","","","","","","","","","","","","","",""
"        Estimate","2,706","5.7%","5.1%","8.6%","11.5%","8.7%","19.7%","9.2%","20.1%","4.8%","6.5%","63,682","82,944","","(X)","39.5%","(X)"
"    Married-couple families","","","","","","","","","","","","","","","","",""
"        Estimate","2,188","0.9%","3.5%","7.3%","10.4%","8.6%","19.2%","11.1%","24.9%","6.0%","8.0%","75,132","N","","(X)","(X)","(X)"
"    Nonfamily households","","","","","","","","","","","","","","","","",""
"        Estimate","1,289","18.4%","15.7%","22.3%","6.9%","11.8%","16.1%","6.7%","0.9%","0.3%","0.7%","23,169","35,498","","(X)","(X)","28.8%"
"Owsley County, Kentucky","","","","","","","","","","","","","","","","",""
"    Households","","","","","","","","","","","","","","","","",""
"        Estimate","1,704","21.6%","9.7%","11.6%","11.7%","11.9%","10.7%","11.6%","10.3%","0.6%","0.4%","30,284","47,219","","55.6%","(X)","(X)"
