"Label (Grouping)","Total","Total!!Less than $10,000","Total!!$10,000 to $14,999","Total!!$15,000 to $24,999","Total!!$25,000 to $34,999","Total!!$35,000 to $49,999","Total!!$50,000 to $74,999","Total!!$75,000 to $99,999","Total!!$100,000 to $149,999","Total!!$150,000 to $199,999","Total!!$200,000 or more","Median income (dollars)","Mean income (dollars)","PERCENT ALLOCATED","PERCENT ALLOCATED!!Household income in the past 12 months","PERCENT ALLOCATED!!Family income in the past 12 months","PERCENT ALLOCATED!!Nonfamily income in the past 12 months"
"    Families","","","","","","","","","","","","","","","","",""
"        Estimate","17,111","5.0%","4.0%","7.3%","8.5%","12.1%","23.5%","14.8%","15.2%","4.4%","5.1%","62,784","83,374","","(X)","30.8%","(X)"
"    Married-couple families","","","","","","","","","","","","","","","","",""
"        Estimate","12,033","0.8%","1.5%","4.2%","6.0%","11.2%","24.4%","18.2%","20.5%","6.1%","7.0%","77,229","99,557","","(X)","(X)","(X)"
"    Nonfamily households","","","","","","","","","","","","","","","","",""
"        Estimate","9,726","11.4%","10.1%","20.6%","16.6%","18.4%","14.3%","5.7%","2.4%","0.4%","0.2%","28,952","36,785","","(X)","(X)","28.2%"
"Wells County, Indiana","","","","","","","","","","","","","","","","",""
"    Households","","","","","","","","","","","","","","","","",""
"        Estimate","11,120","4.1%","3.3%","7.5%","9.5%","14.4%","19.9%","16.5%","16.6%","4.5%","3.5%","62,802","75,968","","34.5%","(X)","(X)"
"    Families","","","","","","","","","","","","","","","","",""
"        Estimate","7,614","1.9%","0.3%","2.0%","6.9%","14.7%","21.6%","19.7%","22.1%","5.9%","4.9%","78,041","91,044","","(X)","34.6%","(X)"
"    Married-couple families","","","","","","","","","","","","","","","","",""
"        Estimate","6,347","0.4%","0.4%","1.9%","4.9%","11.8%","22.5%","21.5%","24.0%","6.7%","5.7%","85,307","N","","(X)","(X)","(X)"
"    Nonfamily households","","","","","","","","","","","","","","","","",""
"        Estimate","3,506","10.6%","8.4%","19.5%","16.9%","16.6%","15.2%","8.4%","3.1%","0.7%","0.6%","32,814","39,865","","(X)","(X)","31.5%"
"White County, Indiana","","","","","","","","","","","","","","","","",""
"    Households","","","","","","","","","","","","","","","","",""
"        Estimate","9,554","3.5%","3.7%","8.4%","10.2%","14.9%","21.2%","17.2%","14.1%","4.8%","2.1%","60,327","71,845","","36.8%","(X)","(X)"
"    Families","","","","","","","","","","","","","","","","",""
"        Estimate","6,557","2.8%","0.1%","5.3%","6.7%","14.6%","23.0%","20.8%","18.4%","5.9%","2.4%","72,150","82,112","","(X)","36.8%","(X)"
"    Married-couple families","","","","","","","","","","","","","","","","",""
"        Estimate","4,955","1.1%","0.0%","2.6%","4.4%","13.2%","23.8%","23.8%","20.8%","7.3%","3.0%","78,770","N","","(X)","(X)","(X)"
"    Nonfamily households","","","","","","","","","","","","","","","","",""
"        Estimate","2,997","6.5%","11.6%","16.2%","18.8%","16.8%","19.2%","5.7%","2.0%","1.8%","1.5%","32,818","43,976","","(X)","(X)","36.1%"
"Whitley County, Indiana","","","","","","","","","","","","","","","","",""
"    Households","","","","","","","","","","","","","","","","",""
"        Estimate","13,725","2.5%","3.2%","7.7%","7.4%","15.5%","20.4%","17.7%","15.5%","5.4%","4.7%","67,716","82,298","","31.8%","(X)","(X)"
"    Families","","","","","","","","","","","","","","","","",""
"        Estimate","9,505","1.7%","2.5%","3.9%","4.9%","12.0%","22.1%","19.4%","19.9%","7.2%","6.5%","78,843","96,332","","(X)","30.8%","(X)"
"    Married-couple families","","","","","","","","","","","","","","","","",""
"        Estimate","7,575","0.7%","0.6%","1.9%","3.3%","8.4%","22.6%","22.2%","23.9%","9.0%","7.5%","87,121","N","","(X)","(X)","(X)"
"    Nonfamily households","","","","","","","","","","","","","","","","",""
"        Estimate","4,220","5.7%","5.2%","17.4%","12.9%","23.7%","16.3%","13.4%","4.0%","0.7%","0.7%","38,969","47,480","","(X)","(X)","31.8%"
"Adair County, Iowa","","","","","","","","","","","","","","","","",""
"    Households","","","","","","","","","","","","","","","","",""
"        Estimate","3,180","6.7%","2.9%","10.1%","9.7%","14.3%","17.6%","14.9%","15.1%","4.7%","4.0%","57,944","75,875","","36.0%","(X)","(X)"
"    Families","","","","","","","","","","","","","","","","",""
"        Estimate","1,884","2.1%","1.4%","5.7%","5.8%","14.6%","16.5%","20.3%","22.2%","5.7%","5.6%","79,621","90,365","","(X)","34.4%","(X)"
"    Married-couple families","","","","","","","","","","","","","","","","",""
"        Estimate","1,555","0.6%","0.8%","3.3%","4.5%","12.4%","17.3%","22.8%","25.2%","6.5%","6.6%","85,786","N","","(X)","(X)","(X)"
"    Nonfamily households","","","","","","","","","","","","","","","","",""
"        Estimate","1,296","13.5%","5.8%","16.7%","15.7%","15.8%","18.6%","5.2%","4.6%","2.3%","1.7%","34,167","52,635","","(X)","(X)","34.9%"
"Adams County, Iowa","","","","","","","","","","","","","","","","",""
"    Households","","","","","","","","","","","","","","","","",""
"        Estimate","1,529","5.0%","5.0%","8.7%","11.6%","14.5%","19.1%","16.4%","10.6%","4.4%","4.8%","57,981","85,877","","33.2%","(X)","(X)"
"    Families","","","","","","","","","","","","","","","","",""
"        Estimate","966","3.0%","0.7%","1.9%","7.1%","14.4%","25.3%","20.9%","14.8%","6.9%","5.0%","73,446","92,036","","(X)","34.8%","(X)"
"    Married-couple families","","","","","","","","","","","","","","","","",""
"        Estimate","812","1.1%","0.4%","2.0%","7.1%","11.2%","24.3%","22.9%","17.1%","8.0%","5.9%","79,545","N","","(X)","(X)","(X)"
"    Nonfamily households","","","","","","","","","","","","","","","","",""
"        Estimate","563","11.0%","12.3%","20.4%","19.2%","12.1%","8.9%","8.7%","3.0%","0.0%","4.4%","28,899","74,158","","(X)","(X)","30.4%"
"Allamakee County, Iowa","","","","","","","","","","","","","","","","",""
"    Households","","","","","","","","","","","","","","","","",""
"        Estimate","5,814","2.8%","4.0%","10.5%","7.7%","15.0%","23.7%","15.0%","13.1%","4.0%","4.2%","59,461","72,509","","40.2%","(X)","(X)"
"    Families","","","","","","","","","","","","","","","","",""
"        Estimate","3,607","1.9%","2.5%","6.2%","6.5%","13.8%","20.7%","18.7%","18.7%","5.8%","5.2%","73,782","84,522","","(X)","42.4%","(X)"
"    Married-couple families","","","","","","","","","","","","","","","","",""
"        Estimate","3,015","1.1%","1.6%","5.0%","4.6%","11.5%","22.8%","20.3%","20.9%","6.0%","6.2%","79,977","N","","(X)","(X)","(X)"
"    Nonfamily households","","","","","","","","","","","","","","","","",""
"        Estimate","2,207","5.1%","6.3%","17.9%","11.6%","17.7%","27.4%","6.4%","4.2%","0.7%","2.6%","41,091","50,810","","(X)","(X)","36.5%"
"Appanoose County, Iowa","","","","","","","","","","","","","","","","",""
"    Households","","","","","","","","","","","","","","","","",""
"        Estimate","4,920","8.6%","5.9%","11.6%","10.2%","15.7%","17.9%","12.6%","12.1%","3.4%","1.9%","46,900","64,917","","32.9%","(X)","(X)"
"    Families","","","","","","","","","","","","","","","","",""
"        Estimate","3,141","6.7%","1.5%","7.8%","10.6%","17.2%","18.6%","12.9%","17.1%","5.1%","2.5%","56,479","74,751","","(X)","34.3%","(X)"
"    Married-couple families","","","","","","","","","","","","","","","","",""
"        Estimate","2,471","5.1%","0.7%","7.0%","5.9%","16.2%","19.3%","15.3%","20.8%","6.4%","3.1%","69,875","N","","(X)","(X)","(X)"
"    Nonfamily households","","","","","","","","","","","","","","","","",""
"        Estimate","1,779","12.8%","14.2%","19.3%","14.3%","15.5%","12.2%","7.9%","2.4%","0.4%","1.0%","26,780","43,157","","(X)","(X)","29.8%"
"Audubon County, Iowa","","","","","","","","","","","","","","","","",""
"    Households","","","","","","","","","","","","","","","","",""
"        Estimate","2,498","3.5%","3.0%","9.6%","12.6%","15.9%","23.6%","11.2%","13.4%","4.7%","2.5%","54,643","66,941","","35.6%","(X)","(X)"
"    Families","","","","","","","","","","","","","","","","",""
"        Estimate","1,552","2.1%","1.2%","4.7%","9.0%","13.5%","28.6%","13.3%","17.1%","7.3%","3.2%","68,269","79,573","","(X)","33.1%","(X)"
"    Married-couple families","","","","","","","","","","","","","","","","",""
"        Estimate","1,308","0.9%","0.3%","3.5%","7.3%","11.3%","30.0%","14.7%","19.6%","8.7%","3.7%","72,806","N","","(X)","(X)","(X)"
"    Nonfamily households","","","","","","","","","","","","","","","","",""
"        Estimate","946","7.5%","6.0%","18.1%","19.8%","18.5%","16.2%","7.4%","4.8%","0.4%","1.4%","34,458","43,378","","(X)","(X)","37.4%"
"Benton County, Iowa","","","","","","","","","","","","","","","","",""
"    Households","","","","","","","","","","","","","","","","",""
"        Estimate","10,075","3.1%","3.9%","6.5%","8.5%","9.6%","20.4%","15.4%","20.6%","6.6%","5.5%","72,334","86,433","","28.0%","(X)","(X)"
"    Families","","","","","","","","","","","","","","","","",""
"        Estimate","7,092","2.1%","1.0%","3.2%","5.7%","9.5%","19.4%","18.1%","25.3%","8.4%","7.4%","87,317","100,618","","(X)","26.6%","(X)"
"    Married-couple families","","","","","","","","","","","","","","","","",""
"        Estimate","5,957","1.7%","0.7%","2.1%","5.0%","7.0%","17.3%","19.2%","28.3%","9.9%","8.7%","95,792","N","","(X)","(X)","(X)"
"    Nonfamily households","","","","","","","","","","","","","","","","",""
"        Estimate","2,983","6.4%","11.1%","14.8%","16.0%","10.1%","23.4%","7.4%","8.1%","1.7%","0.9%","36,406","49,384","","(X)","(X)","30.0%"
"Black Hawk County, Iowa","","","","","","","","","","","","","","","","",""
"    Households","","","","","","","","","","","","","","","","",""
"        Estimate","53,465","5.9%","4.7%","9.0%","10.4%","13.3%","18.6%","13.2%","15.0%","4.9%","4.9%","57,191","78,398","","35.0%","(X)","(X)"
"    Families","","","","","","","","","","","","","","","","",""
"        Estimate","31,459","3.2%","2.2%","5.4%","8.0%","11.3%","17.8%","16.6%","21.2%","7.0%","7.3%","77,231","97,688","","(X)","34.8%","(X)"
"    Married-couple families","","","","","","","","","","","","","","","","",""
"        Estimate","23,831","1.2%","0.7%","2.4%","5.2%","8.3%","18.8%","18.4%","26.9%","8.7%","9.3%","93,590","112,793","","(X)","(X)","(X)"
"    Nonfamily households","","","","","","","","","","","","","","","","",""
"        Estimate","22,006","10.4%","8.4%","15.0%","15.0%","16.8%","19.0%","8.1%","4.7%","1.6%","1.1%","36,036","47,344","","(X)","(X)","33.7%"
"Boone County, Iowa","","","","","","","","","","","","","","","","",""
"    Households","","","","","","","","","","","","","","","","",""
"        Estimate","10,720","2.9%","3.3%","7.7%","9.7%","11.0%","17.5%","15.7%","21.1%","6.1%","5.0%","70,984","87,117","","32.0%","(X)","(X)"
"    Families","","","","","","","","","","","","","","","","",""
"        Estimate","7,043","1.6%","0.6%","3.3%","4.3%","9.7%","16.9%","20.2%","27.9%","8.8%","6.7%","91,222","104,829","","(X)","32.0%","(X)"
"    Married-couple families","","","","","","","","","","","","","","","","",""
"        Estimate","5,798","1.0%","0.1%","1.3%","3.3%","7.2%","15.3%","20.6%","32.3%","10.7%","8.1%","101,206","N","","(X)","(X)","(X)"
"    Nonfamily households","","","","","","","","","","","","","","","","",""
"        Estimate","3,677","6.3%","8.3%","16.5%","20.5%","14.0%","18.7%","7.0%","6.4%","0.7%","1.6%","33,800","50,876","","(X)","(X)","31.3%"
"Bremer County, Iowa","","","","","","","","","","","","","","","","",""
"    Households","","","","","","","","","","","","","","","","",""
"        Estimate","9,638","3.5%","2.4%","6.1%","6.5%","11.4%","18.7%","16.8%","23.2%","6.9%","4.4%","76,782","88,707","","28.4%","(X)","(X)"
"    Families","","","","","","","","","","","","","","","","",""
"        Estimate","6,704","2.7%","1.2%","3.3%","3.4%","7.6%","20.2%","18.7%","28.2%","8.8%","5.9%","87,896","102,253","","(X)","26.5%","(X)"
"    Married-couple families","","","","","","","","","","","","","","","","",""
"        Estimate","5,600","1.2%","0.6%","1.1%","2.1%","6.9%","18.6%","20.2%","32.2%","10.4%","6.8%","98,933","N","","(X)","(X)","(X)"
"    Nonfamily households","","","","","","","","","","","","","","","","",""
"        Estimate","2,934","6.8%","6.2%","14.2%","13.1%","20.3%","17.3%","10.5%","7.9%","2.5%","1.1%","43,059","53,308","","(X)","(X)","32.8%"
"Buchanan County, Iowa","","","","","","","","","","","","","","","","",""
"    Households","","","","","","","","","","","","","","","","",""
"        Estimate","7,787","2.8%","3.6%","9.7%","7.7%","11.4%","17.7%","18.2%","19.0%","7.1%","3.0%","71,024","82,576","","31.0%","(X)","(X)"
"    Families","","","","","","","","","","","","","","","","",""
"        Estimate","5,479","2.5%","0.7%","4.7%","5.2%","9.7%","18.7%","21.4%","23.1%","9.8%","4.2%","82,009","97,227","","(X)","28.0%","(X)"
"    Married-couple families","","","","","","","","","","","","","","","","",""
"        Estimate","4,444","0.3%","0.2%","2.5%","3.0%","8.9%","17.9%","23.5%","27.4%","11.2%","5.1%","93,762","N","","(X)","(X)","(X)"
"    Nonfamily households","","","","","","","","","","","","","","","","",""
"        Estimate","2,308","7.9%","10.4%","22.2%","14.8%","15.4%","15.4%","7.0%","6.0%","0.8%","0.0%","30,516","40,812","","(X)","(X)","33.0%"
"Buena Vista County, Iowa","","","","","","","","","","","","","","","","",""
"    Households","","","","","","","","","","","","","","","","",""
"        Estimate","7,506","3.0%","2.5%","10.2%","9.5%","18.5%","20.0%","11.3%","13.0%","7.9%","4.1%","53,645","78,087","","36.6%","(X)","(X)"
"    Families","","","","","","","","","","","","","","","","",""
"        Estimate","4,401","1.3%","0.9%","3.3%","7.8%","12.7%","20.1%","15.9%","19.6%","11.9%","6.5%","80,250","98,518","","(X)","35.0%","(X)"
"    Married-couple families","","","","","","","","","","","","","","","","",""
"        Estimate","3,637","0.8%","0.5%","2.1%","4.9%","11.9%","19.9%","17.7%","22.0%","12.4%","7.8%","86,881","N","","(X)","(X)","(X)"
"    Nonfamily households","","","","","","","","","","","","","","","","",""
"        Estimate","3,105","5.4%","5.2%","20.4%","14.0%","27.6%","17.7%","4.7%","2.8%","1.5%","0.7%","40,960","46,167","","(X)","(X)","36.6%"
"Butler County, Iowa","","","","","","","","","","","","","","","","",""
"    Households","","","","","","","","","","","","","","","","",""
"        Estimate","5,860","5.3%","4.1%","7.6%","8.4%","13.9%","21.4%","14.9%","17.4%","4.2%","2.8%","61,109","75,877","","37.5%","(X)","(X)"
"    Families","","","","","","","","","","","","","","","","",""
"        Estimate","4,109","3.5%","2.3%","4.9%","5.3%","12.8%","21.4%","19.0%","22.0%","5.2%","3.7%","74,754","85,824","","(X)","34.9%","(X)"
"    Married-couple families","","","","","","","","","","","","","","","","",""
"        Estimate","3,427","1.3%","1.8%","2.9%","4.6%","12.5%","21.3%","20.9%","24.5%","6.2%","4.0%","82,676","N","","(X)","(X)","(X)"
"    Nonfamily households","","","","","","","","","","","","","","","","",""
"        Estimate","1,751","13.0%","8.9%","14.9%","13.5%","16.0%","21.9%","4.7%","4.9%","1.5%","0.6%","34,757","47,799","","(X)","(X)","40.4%"
"Calhoun County, Iowa","","","","","","","","","","","","","","","","",""
"    Households","","","","","","","","","","","","","","","","",""
"        Estimate","3,932","6.0%","4.0%","10.1%","11.6%","12.0%","16.0%","15.9%","16.5%","3.8%","4.1%","60,434","73,981","","36.7%","(X)","(X)"
"    Families","","","","","","","","","","","","","","","","",""
"        Estimate","2,525","3.4%","1.6%","4.6%","10.1%","8.3%","19.5%","21.2%","19.8%","5.5%","5.9%","77,056","90,463","","(X)","35.1%","(X)"
"    Married-couple families","","","","","","","","","","","","","","","","",""
"        Estimate","2,097","1.2%","0.8%","3.0%","5.9%","8.3%","19.9%","23.5%","23.6%","6.7%","7.1%","84,750","N","","(X)","(X)","(X)"
"    Nonfamily households","","","","","","","","","","","","","","","","",""
"        Estimate","1,407","11.2%","8.5%","21.0%","14.9%","18.3%","11.6%","6.5%","6.7%","0.6%","0.9%","31,228","41,295","","(X)","(X)","38.8%"
"Carroll County, Iowa","","","","","","","","","","","","","","","","",""
"    Households","","","","","","","","","","","","","","","","",""
"        Estimate","8,761","5.9%","5.1%","7.0%","9.8%","12.9%","19.3%","13.8%","16.7%","5.9%","3.6%","61,157","76,233","","35.9%","(X)","(X)"
"    Families","","","","","","","","","","","","","","","","",""
"        Estimate","5,449","2.4%","1.5%","3.7%","10.0%","10.9%","17.2%","18.0%","22.8%","8.0%","5.4%","80,214","92,062","","(X)","37.8%","(X)"
"    Married-couple families","","","","","","","","","","","","","","","","",""
"        Estimate","4,325","1.6%","0.9%","2.5%","5.3%","8.9%","17.2%","20.6%","26.5%","10.0%","6.7%","93,052","N","","(X)","(X)","(X)"
"    Nonfamily households","","","","","","","","","","","","","","","","",""
"        Estimate","3,312","11.6%","10.9%","13.1%","16.4%","16.0%","18.2%","6.6%","4.3%","2.3%","0.6%","33,374","45,759","","(X)","(X)","30.7%"
"Cass County, Iowa","","","","","","","","","","","","","","","","",""
"    Households","","","","","","","","","","","","","","","","",""
"        Estimate","5,777","6.9%","5.9%","10.1%","11.1%","12.2%","18.5%","14.6%","12.0%","4.0%","5.0%","55,395","74,546","","36.8%","(X)","(X)"
"    Families","","","","","","","","","","","","","","","","",""
"        Estimate","3,429","3.7%","3.5%","3.2%","8.3%","11.1%","19.0%","18.8%","18.2%","6.7%","7.5%","76,008","95,229","","(X)","33.6%","(X)"
"    Married-couple families","","","","","","","","","","","","","","","","",""
"        Estimate","2,774","2.1%","0.6%","1.7%","8.0%","10.0%","19.7%","20.1%","21.0%","7.8%","9.2%","85,308","N","","(X)","(X)","(X)"
"    Nonfamily households","","","","","","","","","","","","","","","","",""
"        Estimate","2,348","13.1%","10.5%","20.3%","15.3%","12.9%","17.0%","7.7%","2.1%","0.0%","1.2%","28,403","41,611","","(X)","(X)","39.9%"
"Cedar County, Iowa","","","","","","","","","","","","","","","","",""
"    Households","","","","","","","","","","","","","","","","",""
"        Estimate","7,381","2.8%","4.1%","7.3%","6.2%","12.0%","19.4%","16.6%","21.0%","6.8%","3.7%","72,714","83,113","","31.7%","(X)","(X)"
"    Families","","","","","","","","","","","","","","","","",""
"        Estimate","4,880","1.3%","1.2%","3.5%","4.4%","9.4%","19.7%","18.5%","27.5%","10.1%","4.5%","89,375","98,288","","(X)","34.3%","(X)"
"    Married-couple families","","","","","","","","","","","","","","","","",""
"        Estimate","4,099","0.6%","0.2%","2.2%","3.6%","7.9%","18.4%","20.2%","30.3%","11.3%","5.3%","96,343","N","","(X)","(X)","(X)"
"    Nonfamily households","","","","","","","","","","","","","","","","",""
"        Estimate","2,501","6.1%","11.4%","14.8%","10.6%","17.7%","19.8%","11.3%","6.0%","0.8%","1.6%","42,390","50,061","","(X)","(X)","26.0%"
"Cerro Gordo County, Iowa","","","","","","","","","","","","","","","","",""
"    Households","","","","","","","","","","","","","","","","",""
"        Estimate","19,569","4.2%","3.6%","9.1%","11.0%","14.1%","20.8%","13.6%","13.9%","4.6%","4.9%","58,271","77,837","","33.0%","(X)","(X)"
"    Families","","","","","","","","","","","","","","","","",""
"        Estimate","11,521","2.6%","1.0%","4.7%","7.6%","12.0%","20.8%","17.9%","19.7%","6.8%","6.8%","76,875","94,160","","(X)","29.2%","(X)"
"    Married-couple families","","","","","","","","","","","","","","","","",""
"        Estimate","9,047","0.5%","0.4%","2.6%","3.9%","9.5%","22.7%","19.7%","23.9%","8.3%","8.4%","87,857","N","","(X)","(X)","(X)"
"    Nonfamily households","","","","","","","","","","","","","","","","",""
"        Estimate","8,048","8.0%","7.6%","15.7%","17.8%","18.1%","19.1%","7.0%","4.2%","0.9%","1.7%","35,472","50,518","","(X)","(X)","37.8%"
"Cherokee County, Iowa","","","","","","","","","","","","","","","","",""
"    Households","","","","","","","","","","","","","","","","",""
"        Estimate","5,126","4.2%","6.0%","8.5%","7.0%","16.4%","19.2%","12.0%","16.2%","5.6%","4.9%","59,881","77,638","","34.6%","(X)","(X)"
"    Families","","","","","","","","","","","","","","","","",""
"        Estimate","3,003","2.4%","1.4%","1.7%","7.3%","14.5%","17.8%","16.2%","23.4%","8.3%","6.9%","83,801","95,641","","(X)","34.5%","(X)"
"    Married-couple families","","","","","","","","","","","","","","","","",""
"        Estimate","2,477","0.3%","0.3%","1.0%","4.2%","10.3%","19.9%","18.8%","27.6%","10.0%","7.5%","93,930","N","","(X)","(X)","(X)"
"    Nonfamily households","","","","","","","","","","","","","","","","",""
"        Estimate","2,123","6.8%","12.3%","18.3%","11.3%","20.0%","19.1%","2.4%","5.9%","1.7%","2.2%","37,724","49,681","","(X)","(X)","34.7%"
"Chickasaw County, Iowa","","","","","","","","","","","","","","","","",""
"    Households","","","","","","","","","","","","","","","","",""
"        Estimate","5,005","2.9%","4.3%","7.7%","10.5%","12.5%","19.4%","15.4%","17.9%","6.2%","3.2%","67,146","78,983","","37.9%","(X)","(X)"
"    Families","","","","","","","","","","","","","","","","",""
"        Estimate","3,387","0.9%","2.5%","3.0%","8.1%","11.8%","19.5%","18.1%","22.9%","8.7%","4.4%","80,491","93,621","","(X)","41.7%","(X)"
"    Married-couple families","","","","","","","","","","","","","","","","",""
"        Estimate","2,843","0.7%","1.1%","3.2%","6.9%","8.7%","19.7%","18.9%","25.6%","10.1%","5.2%","88,977","N","","(X)","(X)","(X)"
"    Nonfamily households","","","","","","","","","","","","","","","","",""
"        Estimate","1,618","7.0%","10.4%","15.6%","16.1%","15.6%","19.2%","7.5%","6.8%","1.3%","0.4%","35,625","46,190","","(X)","(X)","27.5%"
"Clarke County, Iowa","","","","","","","","","","","","","","","","",""
"    Households","","","","","","","","","","","","","","","","",""
"        Estimate","3,740","9.9%","3.4%","10.4%","4.5%","11.1%","23.7%","12.9%","13.6%","7.0%","3.4%","58,617","76,090","","33.1%","(X)","(X)"
"    Families","","","","","","","","","","","","","","","","",""
"        Estimate","2,483","6.1%","1.8%","5.9%","2.0%","13.4%","28.6%","17.2%","12.6%","8.0%","4.4%","64,902","84,162","","(X)","27.8%","(X)"
"    Married-couple families","","","","","","","","","","","","","","","","",""
"        Estimate","1,990","0.8%","0.4%","5.9%","1.5%","12.1%","29.3%","20.2%","15.4%","9.9%","4.5%","75,139","N","","(X)","(X)","(X)"
"    Nonfamily households","","","","","","","","","","","","","","","","",""
"        Estimate","1,257","19.6%","6.8%","17.3%","9.5%","8.4%","16.3%","2.7%","13.3%","4.9%","1.4%","31,549","57,464","","(X)","(X)","42.4%"
"Clay County, Iowa","","","","","","","","","","","","","","","","",""
"    Households","","","","","","","","","","","","","","","","",""
"        Estimate","7,137","3.8%","6.0%","13.3%","12.3%","13.1%","16.1%","13.5%","15.0%","3.8%","3.1%","52,307","68,402","","31.8%","(X)","(X)"
"    Families","","","","","","","","","","","","","","","","",""
"        Estimate","4,227","1.5%","3.8%","5.9%","8.4%","12.8%","20.2%","16.6%","20.8%","4.8%","5.2%","70,989","86,563","","(X)","29.5%","(X)"
"    Married-couple families","","","","","","","","","","","","","","","","",""
"        Estimate","3,266","0.7%","1.8%","2.1%","7.8%","12.4%","19.4%","19.3%","23.8%","6.2%","6.6%","85,000","N","","(X)","(X)","(X)"
"    Nonfamily households","","","","","","","","","","","","","","","","",""
"        Estimate","2,910","7.2%","9.6%","24.4%","17.8%","15.7%","9.9%","8.0%","5.5%","2.0%","0.0%","29,980","40,082","","(X)","(X)","35.2%"
"Clayton County, Iowa","","","","","","","","","","","","","","","","",""
"    Households","","","","","","","","","","","","","","","","",""
"        Estimate","7,319","4.6%","3.6%","9.6%","9.7%","15.5%","18.3%","16.8%","15.3%","3.3%","3.3%","58,148","73,755","","32.9%","(X)","(X)"
"    Families","","","","","","","","","","","","","","","","",""
"        Estimate","4,639","2.0%","1.3%","6.5%","6.6%","14.7%","18.9%","20.5%","20.1%","5.1%","4.2%","74,931","87,263","","(X)","32.0%","(X)"
"    Married-couple families","","","","","","","","","","","","","","","","",""
"        Estimate","3,861","1.3%","0.6%","4.9%","5.0%","13.5%","17.8%","22.7%","23.5%","5.9%","4.7%","83,404","N","","(X)","(X)","(X)"
"    Nonfamily households","","","","","","","","","","","","","","","","",""
"        Estimate","2,680","9.4%","7.9%","16.6%","16.0%","19.2%","17.6%","7.4%","4.0%","0.4%","1.4%","35,063","45,774","","(X)","(X)","32.5%"
"Clinton County, Iowa","","","","","","","","","","","","","","","","",""
"    Households","","","","","","","","","","","","","","","","",""
"        Estimate","19,103","3.9%","4.8%","9.1%","11.3%","14.6%","18.2%","13.8%","15.6%","5.7%","3.0%","56,345","75,048","","29.5%","(X)","(X)"
"    Families","","","","","","","","","","","","","","","","",""
"        Estimate","12,057","1.9%","2.6%","5.5%","7.7%","12.9%","18.2%","17.6%","21.2%","7.9%","4.5%","76,477","90,687","","(X)","29.7%","(X)"
"    Married-couple families","","","","","","","","","","","","","","","","",""
"        Estimate","9,222","0.6%","0.9%","2.7%","5.4%","11.2%","17.9%","19.7%","25.7%","10.3%","5.5%","89,283","N","","(X)","(X)","(X)"
"    Nonfamily households","","","","","","","","","","","","","","","","",""
"        Estimate","7,046","7.7%","9.9%","16.2%","18.4%","16.9%","17.4%","7.3%","4.3%","1.6%","0.5%","33,296","45,324","","(X)","(X)","28.8%"
"Crawford County, Iowa","","","","","","","","","","","","","","","","",""
"    Households","","","","","","","","","","","","","","","","",""
"        Estimate","6,159","9.0%","3.0%","10.5%","9.5%","12.4%","21.3%","13.2%","13.4%","4.7%","3.0%","55,552","69,222","","41.0%","(X)","(X)"
"    Families","","","","","","","","","","","","","","","","",""
"        Estimate","4,364","12.2%","0.8%","5.7%","5.3%","10.4%","22.2%","15.8%","17.6%","6.4%","3.7%","64,340","79,373","","(X)","37.6%","(X)"
"    Married-couple families","","","","","","","","","","","","","","","","",""
"        Estimate","3,115","1.0%","0.5%","3.2%","4.0%","9.4%","24.8%","19.1%","24.3%","8.9%","4.8%","85,327","N","","(X)","(X)","(X)"
"    Nonfamily households","","","","","","","","","","","","","","","","",""
"        Estimate","1,795","8.4%","8.3%","18.1%","20.4%","15.8%","17.9%","6.2%","3.0%","0.7%","1.2%","31,029","41,369","","(X)","(X)","42.3%"
"Dallas County, Iowa","","","","","","","","","","","","","","","","",""
"    Households","","","","","","","","","","","","","","","","",""
"        Estimate","37,970","2.5%","1.9%","4.5%","5.9%","9.9%","15.6%","12.6%","21.5%","11.6%","13.9%","93,492","120,470","","30.4%","(X)","(X)"
"    Families","","","","","","","","","","","","","","","","",""
"        Estimate","24,863","1.0%","1.4%","2.1%","4.0%","5.8%","13.7%","12.0%","25.3%","15.3%","19.4%","119,760","144,959","","(X)","30.2%","(X)"
"    Married-couple families","","","","","","","","","","","","","","","","",""
"        Estimate","20,905","0.2%","0.8%","1.3%","2.7%","3.8%","12.6%","11.8%","27.4%","17.4%","22.0%","133,192","N","","(X)","(X)","(X)"
"    Nonfamily households","","","","","","","","","","","","","","","","",""
"        Estimate","13,107","5.7%","2.9%","9.5%","11.3%","18.2%","19.9%","12.8%","13.0%","3.5%","3.3%","54,664","69,787","","(X)","(X)","29.9%"
"Davis County, Iowa","","","","","","","","","","","","","","","","",""
"    Households","","","","","","","","","","","","","","","","",""
"        Estimate","3,150","3.1%","3.0%","7.7%","6.6%","13.8%","14.7%","20.4%","16.9%","6.6%","7.1%","76,755","89,446","","37.7%","(X)","(X)"
"    Families","","","","","","","","","","","","","","","","",""
"        Estimate","2,381","2.0%","0.7%","4.9%","3.6%","12.8%","15.0%","23.8%","19.4%","8.5%","9.4%","86,398","103,264","","(X)","38.2%","(X)"
"    Married-couple families","","","","","","","","","","","","","","","","",""
"        Estimate","2,088","2.0%","0.0%","3.3%","1.6%","13.0%","14.2%","24.8%","20.8%","9.7%","10.6%","87,917","N","","(X)","(X)","(X)"
"    Nonfamily households","","","","","","","","","","","","","","","","",""
