"Label (Grouping)","Total","Total!!Less than $10,000","Total!!$10,000 to $14,999","Total!!$15,000 to $24,999","Total!!$25,000 to $34,999","Total!!$35,000 to $49,999","Total!!$50,000 to $74,999","Total!!$75,000 to $99,999","Total!!$100,000 to $149,999","Total!!$150,000 to $199,999","Total!!$200,000 or more","Median income","Mean income","PERCENT ALLOCATED","PERCENT ALLOCATED!!Household income in the past 12 months","PERCENT ALLOCATED!!Family income in the past 12 months","PERCENT ALLOCATED!!Nonfamily income in the past 12 months"
"        Estimate","7,780","1.4%","1.9%","8.7%","10.6%","14.4%","19.8%","16.0%","18.3%","5.0%","3.8%","67,216","91,498","","(X)","35.1%","(X)"
"    Married-couple families","","","","","","","","","","","","","","","","",""
"        Estimate","6,354","0.9%","0.5%","7.8%","10.0%","11.1%","20.5%","17.1%","21.4%","6.1%","4.6%","74,350","N","","(X)","(X)","(X)"
"    Nonfamily households","","","","","","","","","","","","","","","","",""
"        Estimate","4,086","15.9%","16.1%","19.9%","13.2%","6.2%","10.2%","9.0%","6.6%","0.0%","2.8%","23,824","50,369","","(X)","(X)","30.1%"
"McDuffie County, Georgia","","","","","","","","","","","","","","","","",""
"    Households","","","","","","","","","","","","","","","","",""
"        Estimate","8,238","9.8%","3.1%","13.4%","12.0%","15.0%","22.5%","8.5%","10.9%","3.2%","1.6%","47,327","58,501","","39.9%","(X)","(X)"
"    Families","","","","","","","","","","","","","","","","",""
"        Estimate","5,773","6.2%","0.9%","11.1%","11.9%","18.1%","22.4%","9.9%","13.2%","4.3%","2.0%","51,244","66,047","","(X)","47.2%","(X)"
"    Married-couple families","","","","","","","","","","","","","","","","",""
"        Estimate","3,690","0.4%","0.1%","6.1%","4.2%","17.7%","26.2%","15.0%","20.5%","6.7%","3.1%","71,441","N","","(X)","(X)","(X)"
"    Nonfamily households","","","","","","","","","","","","","","","","",""
"        Estimate","2,465","18.7%","7.7%","21.0%","12.8%","8.5%","21.7%","3.8%","4.4%","0.7%","0.8%","27,094","38,630","","(X)","(X)","21.5%"
"McIntosh County, Georgia","","","","","","","","","","","","","","","","",""
"    Households","","","","","","","","","","","","","","","","",""
"        Estimate","6,343","6.1%","5.7%","15.2%","8.1%","12.6%","16.0%","19.3%","10.2%","4.9%","1.9%","56,262","64,012","","44.4%","(X)","(X)"
"    Families","","","","","","","","","","","","","","","","",""
"        Estimate","4,323","2.5%","2.7%","10.9%","5.8%","13.3%","17.2%","25.3%","13.7%","6.1%","2.5%","73,152","76,306","","(X)","50.1%","(X)"
"    Married-couple families","","","","","","","","","","","","","","","","",""
"        Estimate","3,201","0.7%","1.3%","4.6%","1.7%","13.2%","19.2%","30.8%","16.9%","8.2%","3.4%","80,440","N","","(X)","(X)","(X)"
"    Nonfamily households","","","","","","","","","","","","","","","","",""
"        Estimate","2,020","15.5%","15.9%","25.6%","12.1%","9.4%","11.0%","6.4%","3.5%","0.0%","0.6%","22,617","33,576","","(X)","(X)","30.1%"
"Macon County, Georgia","","","","","","","","","","","","","","","","",""
"    Households","","","","","","","","","","","","","","","","",""
"        Estimate","4,648","17.0%","9.3%","14.3%","11.5%","13.6%","16.2%","4.0%","10.6%","1.1%","2.4%","31,910","54,472","","42.4%","(X)","(X)"
"    Families","","","","","","","","","","","","","","","","",""
"        Estimate","2,916","8.9%","3.8%","13.3%","12.3%","17.7%","20.4%","4.6%","14.8%","1.7%","2.5%","46,380","58,759","","(X)","44.6%","(X)"
"    Married-couple families","","","","","","","","","","","","","","","","",""
"        Estimate","1,724","3.2%","0.7%","9.3%","9.9%","14.5%","24.9%","6.0%","24.4%","2.9%","4.2%","59,722","N","","(X)","(X)","(X)"
"    Nonfamily households","","","","","","","","","","","","","","","","",""
"        Estimate","1,732","31.9%","18.4%","16.4%","10.1%","5.8%","8.6%","3.0%","3.6%","0.0%","2.2%","14,877","46,703","","(X)","(X)","38.5%"
"Madison County, Georgia","","","","","","","","","","","","","","","","",""
"    Households","","","","","","","","","","","","","","","","",""
"        Estimate","10,622","6.1%","5.0%","8.8%","14.9%","14.0%","19.2%","13.8%","11.9%","3.7%","2.5%","51,142","65,995","","36.5%","(X)","(X)"
"    Families","","","","","","","","","","","","","","","","",""
"        Estimate","8,078","4.9%","2.7%","6.4%","12.1%","14.8%","20.1%","16.7%","14.6%","4.4%","3.3%","63,665","74,708","","(X)","40.8%","(X)"
"    Married-couple families","","","","","","","","","","","","","","","","",""
"        Estimate","5,719","1.6%","1.5%","4.4%","8.1%","11.8%","22.5%","21.1%","18.2%","6.3%","4.6%","75,110","N","","(X)","(X)","(X)"
"    Nonfamily households","","","","","","","","","","","","","","","","",""
"        Estimate","2,544","11.2%","12.5%","17.3%","23.9%","13.0%","14.2%","3.5%","2.9%","1.6%","0.0%","30,232","36,113","","(X)","(X)","22.4%"
"Marion County, Georgia","","","","","","","","","","","","","","","","",""
"    Households","","","","","","","","","","","","","","","","",""
"        Estimate","3,423","9.4%","4.1%","13.9%","8.4%","12.0%","28.9%","8.0%","8.9%","4.2%","2.1%","52,450","58,548","","47.3%","(X)","(X)"
"    Families","","","","","","","","","","","","","","","","",""
"        Estimate","2,525","7.6%","1.0%","11.4%","8.0%","10.5%","31.8%","9.3%","12.5%","5.8%","2.1%","57,941","65,657","","(X)","54.5%","(X)"
"    Married-couple families","","","","","","","","","","","","","","","","",""
"        Estimate","1,824","2.6%","0.0%","6.5%","7.6%","9.9%","34.9%","12.4%","15.8%","7.3%","2.9%","66,111","N","","(X)","(X)","(X)"
"    Nonfamily households","","","","","","","","","","","","","","","","",""
"        Estimate","898","17.7%","12.9%","23.1%","10.9%","17.9%","14.1%","2.8%","0.0%","0.0%","0.6%","21,500","34,135","","(X)","(X)","27.1%"
"Meriwether County, Georgia","","","","","","","","","","","","","","","","",""
"    Households","","","","","","","","","","","","","","","","",""
"        Estimate","8,255","12.3%","7.0%","13.3%","9.7%","14.8%","19.4%","11.4%","8.4%","1.3%","2.4%","40,769","55,806","","44.1%","(X)","(X)"
"    Families","","","","","","","","","","","","","","","","",""
"        Estimate","5,618","6.3%","3.2%","11.2%","9.3%","15.0%","25.1%","13.4%","11.8%","1.4%","3.2%","53,692","67,073","","(X)","46.7%","(X)"
"    Married-couple families","","","","","","","","","","","","","","","","",""
"        Estimate","3,188","1.5%","1.8%","5.4%","4.2%","13.9%","27.4%","19.8%","19.0%","1.2%","5.7%","67,852","N","","(X)","(X)","(X)"
"    Nonfamily households","","","","","","","","","","","","","","","","",""
"        Estimate","2,637","25.4%","15.7%","21.3%","8.5%","12.9%","10.3%","3.8%","0.3%","0.9%","0.8%","17,484","28,389","","(X)","(X)","32.8%"
"Miller County, Georgia","","","","","","","","","","","","","","","","",""
"    Households","","","","","","","","","","","","","","","","",""
"        Estimate","2,339","7.7%","11.5%","15.6%","6.9%","8.6%","21.6%","9.8%","16.8%","0.6%","0.9%","49,771","58,818","","67.2%","(X)","(X)"
"    Families","","","","","","","","","","","","","","","","",""
"        Estimate","1,592","2.3%","6.5%","12.2%","6.0%","10.1%","24.2%","11.9%","24.6%","0.8%","1.4%","59,435","73,230","","(X)","71.0%","(X)"
"    Married-couple families","","","","","","","","","","","","","","","","",""
"        Estimate","1,131","1.4%","2.1%","9.5%","2.7%","11.0%","27.0%","15.9%","27.8%","1.1%","1.5%","68,450","N","","(X)","(X)","(X)"
"    Nonfamily households","","","","","","","","","","","","","","","","",""
"        Estimate","747","19.3%","24.5%","23.4%","6.4%","4.6%","18.7%","2.8%","0.3%","0.0%","0.0%","17,771","26,646","","(X)","(X)","58.4%"
"Mitchell County, Georgia","","","","","","","","","","","","","","","","",""
"    Households","","","","","","","","","","","","","","","","",""
"        Estimate","8,018","10.5%","7.6%","13.7%","14.9%","13.6%","19.1%","8.6%","8.6%","0.8%","2.5%","39,404","53,059","","52.2%","(X)","(X)"
"    Families","","","","","","","","","","","","","","","","",""
"        Estimate","5,273","9.5%","5.8%","13.1%","14.8%","15.1%","14.9%","11.1%","11.4%","1.2%","3.0%","42,044","58,408","","(X)","52.0%","(X)"
"    Married-couple families","","","","","","","","","","","","","","","","",""
"        Estimate","2,835","1.3%","1.0%","7.5%","9.7%","16.6%","21.0%","15.1%","21.2%","2.0%","4.7%","67,657","N","","(X)","(X)","(X)"
"    Nonfamily households","","","","","","","","","","","","","","","","",""
"        Estimate","2,745","14.4%","13.2%","15.7%","16.2%","7.9%","24.0%","3.7%","3.2%","0.1%","1.5%","29,236","39,904","","(X)","(X)","48.3%"
"Monroe County, Georgia","","","","","","","","","","","","","","","","",""
"    Households","","","","","","","","","","","","","","","","",""
"        Estimate","10,177","8.2%","4.9%","9.5%","6.4%","11.9%","16.8%","10.0%","17.0%","6.3%","8.8%","60,491","89,681","","38.7%","(X)","(X)"
"    Families","","","","","","","","","","","","","","","","",""
"        Estimate","6,865","3.2%","4.8%","3.9%","5.9%","10.8%","17.9%","11.1%","23.3%","7.9%","11.1%","81,966","109,355","","(X)","38.2%","(X)"
"    Married-couple families","","","","","","","","","","","","","","","","",""
"        Estimate","5,627","2.5%","4.1%","2.8%","3.3%","10.1%","17.0%","10.6%","27.0%","9.1%","13.4%","98,528","N","","(X)","(X)","(X)"
"    Nonfamily households","","","","","","","","","","","","","","","","",""
"        Estimate","3,312","18.6%","5.5%","21.1%","9.9%","13.4%","15.5%","5.5%","3.5%","3.0%","4.0%","27,352","47,109","","(X)","(X)","39.4%"
"Montgomery County, Georgia","","","","","","","","","","","","","","","","",""
"    Households","","","","","","","","","","","","","","","","",""
"        Estimate","3,061","6.7%","8.5%","11.0%","13.5%","12.8%","15.8%","15.0%","8.8%","4.5%","3.5%","45,230","67,078","","53.8%","(X)","(X)"
"    Families","","","","","","","","","","","","","","","","",""
"        Estimate","2,216","3.2%","4.3%","9.2%","13.5%","13.9%","17.6%","15.0%","12.2%","6.3%","4.7%","55,663","80,072","","(X)","54.5%","(X)"
"    Married-couple families","","","","","","","","","","","","","","","","",""
"        Estimate","1,647","1.3%","0.8%","6.9%","8.7%","13.8%","19.3%","18.6%","15.9%","8.4%","6.2%","71,948","N","","(X)","(X)","(X)"
"    Nonfamily households","","","","","","","","","","","","","","","","",""
"        Estimate","845","16.1%","20.7%","15.7%","12.4%","12.3%","10.7%","12.0%","0.0%","0.0%","0.1%","23,009","31,208","","(X)","(X)","52.1%"
"Morgan County, Georgia","","","","","","","","","","","","","","","","",""
"    Households","","","","","","","","","","","","","","","","",""
"        Estimate","7,040","4.0%","2.4%","8.5%","6.3%","13.5%","18.4%","15.3%","19.6%","5.3%","6.7%","68,669","88,549","","44.5%","(X)","(X)"
"    Families","","","","","","","","","","","","","","","","",""
"        Estimate","5,390","1.6%","1.8%","6.6%","3.5%","10.3%","19.9%","18.8%","22.8%","6.7%","8.2%","81,467","100,010","","(X)","47.1%","(X)"
"    Married-couple families","","","","","","","","","","","","","","","","",""
"        Estimate","4,033","0.4%","0.0%","3.7%","2.8%","6.3%","19.6%","21.1%","26.7%","8.4%","10.9%","93,542","N","","(X)","(X)","(X)"
"    Nonfamily households","","","","","","","","","","","","","","","","",""
"        Estimate","1,650","12.2%","7.2%","14.1%","15.5%","21.9%","14.7%","5.2%","6.7%","1.8%","0.9%","37,761","47,800","","(X)","(X)","36.1%"
"Murray County, Georgia","","","","","","","","","","","","","","","","",""
"    Households","","","","","","","","","","","","","","","","",""
"        Estimate","14,520","4.9%","6.2%","9.7%","13.7%","14.6%","20.8%","14.8%","9.9%","2.5%","3.0%","51,133","63,884","","35.9%","(X)","(X)"
"    Families","","","","","","","","","","","","","","","","",""
"        Estimate","10,939","4.0%","3.6%","6.2%","13.1%","15.5%","22.8%","16.6%","11.1%","3.4%","3.6%","57,577","69,733","","(X)","34.5%","(X)"
"    Married-couple families","","","","","","","","","","","","","","","","",""
"        Estimate","8,462","1.9%","2.0%","4.7%","12.5%","14.2%","23.4%","20.0%","12.9%","3.9%","4.4%","65,720","N","","(X)","(X)","(X)"
"    Nonfamily households","","","","","","","","","","","","","","","","",""
"        Estimate","3,581","10.8%","16.4%","19.4%","17.2%","10.3%","15.2%","6.1%","3.8%","0.4%","0.5%","26,102","40,494","","(X)","(X)","37.3%"
"Muscogee County, Georgia","","","","","","","","","","","","","","","","",""
"    Households","","","","","","","","","","","","","","","","",""
"        Estimate","73,648","10.7%","5.4%","11.1%","11.6%","13.2%","17.2%","11.4%","11.6%","3.8%","3.9%","47,418","66,950","","45.7%","(X)","(X)"
"    Families","","","","","","","","","","","","","","","","",""
"        Estimate","44,873","6.6%","3.4%","8.5%","9.7%","12.5%","17.4%","15.1%","15.6%","5.2%","5.9%","63,709","82,073","","(X)","45.9%","(X)"
"    Married-couple families","","","","","","","","","","","","","","","","",""
"        Estimate","27,785","2.3%","2.0%","4.6%","5.6%","9.8%","18.2%","19.1%","21.4%","7.9%","9.0%","84,072","104,693","","(X)","(X)","(X)"
"    Nonfamily households","","","","","","","","","","","","","","","","",""
"        Estimate","28,775","18.3%","8.8%","15.7%","14.8%","13.9%","16.1%","5.9%","4.7%","0.9%","0.8%","29,351","40,767","","(X)","(X)","44.4%"
"Newton County, Georgia","","","","","","","","","","","","","","","","",""
"    Households","","","","","","","","","","","","","","","","",""
"        Estimate","37,543","5.5%","3.9%","10.9%","9.8%","11.9%","21.3%","13.4%","15.7%","4.2%","3.4%","59,178","72,358","","38.7%","(X)","(X)"
"    Families","","","","","","","","","","","","","","","","",""
"        Estimate","27,747","3.4%","3.0%","9.1%","8.5%","12.3%","22.3%","15.1%","17.5%","5.1%","3.7%","63,856","79,036","","(X)","39.5%","(X)"
"    Married-couple families","","","","","","","","","","","","","","","","",""
"        Estimate","19,153","1.9%","1.7%","4.5%","6.8%","11.2%","21.8%","17.6%","22.7%","6.5%","5.3%","76,637","92,907","","(X)","(X)","(X)"
"    Nonfamily households","","","","","","","","","","","","","","","","",""
"        Estimate","9,796","11.8%","7.5%","16.1%","13.8%","12.0%","17.4%","8.7%","9.6%","0.9%","2.1%","35,625","49,360","","(X)","(X)","35.2%"
"Oconee County, Georgia","","","","","","","","","","","","","","","","",""
"    Households","","","","","","","","","","","","","","","","",""
"        Estimate","13,773","2.1%","1.3%","4.1%","6.6%","12.3%","14.4%","10.8%","22.8%","10.7%","14.9%","95,064","137,349","","33.7%","(X)","(X)"
"    Families","","","","","","","","","","","","","","","","",""
"        Estimate","11,270","1.6%","0.7%","2.0%","4.4%","11.5%","12.9%","10.7%","26.6%","12.5%","17.1%","111,409","153,906","","(X)","33.0%","(X)"
"    Married-couple families","","","","","","","","","","","","","","","","",""
"        Estimate","9,515","1.3%","0.4%","1.5%","3.8%","9.3%","11.0%","11.2%","27.7%","14.1%","19.9%","119,796","N","","(X)","(X)","(X)"
"    Nonfamily households","","","","","","","","","","","","","","","","",""
"        Estimate","2,503","4.7%","4.9%","13.7%","16.3%","15.8%","21.9%","12.1%","6.8%","2.2%","1.6%","44,086","57,930","","(X)","(X)","36.3%"
"Oglethorpe County, Georgia","","","","","","","","","","","","","","","","",""
"    Households","","","","","","","","","","","","","","","","",""
"        Estimate","5,477","6.1%","7.3%","12.7%","8.1%","12.6%","19.7%","12.0%","13.9%","4.4%","3.2%","52,816","66,272","","35.8%","(X)","(X)"
"    Families","","","","","","","","","","","","","","","","",""
"        Estimate","3,762","2.7%","3.6%","9.9%","8.4%","12.6%","19.7%","13.7%","19.1%","6.1%","4.4%","66,583","79,093","","(X)","36.0%","(X)"
"    Married-couple families","","","","","","","","","","","","","","","","",""
"        Estimate","2,822","1.5%","1.2%","5.2%","7.1%","10.9%","20.9%","15.2%","24.0%","8.1%","5.9%","83,184","N","","(X)","(X)","(X)"
"    Nonfamily households","","","","","","","","","","","","","","","","",""
"        Estimate","1,715","14.5%","15.3%","22.0%","8.4%","12.8%","18.6%","5.1%","2.0%","0.6%","0.5%","23,194","35,352","","(X)","(X)","34.2%"
"Paulding County, Georgia","","","","","","","","","","","","","","","","",""
"    Households","","","","","","","","","","","","","","","","",""
"        Estimate","54,993","3.4%","1.7%","5.6%","6.5%","12.3%","21.1%","15.4%","21.1%","8.8%","4.1%","74,154","86,402","","32.1%","(X)","(X)"
"    Families","","","","","","","","","","","","","","","","",""
"        Estimate","43,048","1.5%","1.0%","4.3%","6.5%","11.3%","21.0%","17.1%","22.9%","9.7%","4.7%","78,601","92,373","","(X)","31.5%","(X)"
"    Married-couple families","","","","","","","","","","","","","","","","",""
"        Estimate","32,683","1.0%","0.5%","2.8%","5.2%","9.2%","19.8%","18.3%","26.0%","11.0%","6.1%","88,212","101,251","","(X)","(X)","(X)"
"    Nonfamily households","","","","","","","","","","","","","","","","",""
"        Estimate","11,945","10.9%","4.7%","12.1%","9.3%","15.7%","23.9%","10.7%","9.0%","2.4%","1.2%","46,854","53,464","","(X)","(X)","32.4%"
"Peach County, Georgia","","","","","","","","","","","","","","","","",""
"    Households","","","","","","","","","","","","","","","","",""
"        Estimate","10,215","10.6%","5.5%","13.5%","13.3%","6.9%","16.1%","11.3%","16.2%","3.0%","3.6%","50,267","66,349","","48.2%","(X)","(X)"
"    Families","","","","","","","","","","","","","","","","",""
"        Estimate","6,639","7.1%","2.9%","8.9%","14.6%","8.1%","14.5%","14.6%","20.1%","4.1%","5.2%","61,557","78,020","","(X)","50.6%","(X)"
"    Married-couple families","","","","","","","","","","","","","","","","",""
"        Estimate","3,997","0.9%","1.5%","4.7%","10.1%","5.3%","16.1%","18.2%","31.2%","6.9%","5.1%","87,431","N","","(X)","(X)","(X)"
"    Nonfamily households","","","","","","","","","","","","","","","","",""
"        Estimate","3,576","18.4%","11.3%","22.8%","12.2%","4.3%","16.9%","3.6%","8.6%","1.0%","0.8%","24,036","41,966","","(X)","(X)","41.0%"
"Pickens County, Georgia","","","","","","","","","","","","","","","","",""
"    Households","","","","","","","","","","","","","","","","",""
"        Estimate","12,129","4.0%","4.5%","7.6%","9.9%","11.7%","19.0%","16.7%","17.0%","4.7%","4.8%","68,365","80,693","","36.2%","(X)","(X)"
"    Families","","","","","","","","","","","","","","","","",""
"        Estimate","8,791","1.4%","0.8%","4.4%","11.2%","11.1%","16.8%","20.7%","21.0%","6.3%","6.3%","78,995","93,409","","(X)","36.1%","(X)"
"    Married-couple families","","","","","","","","","","","","","","","","",""
"        Estimate","7,118","1.0%","0.1%","1.5%","9.6%","9.2%","17.7%","23.5%","22.3%","7.5%","7.8%","89,500","N","","(X)","(X)","(X)"
"    Nonfamily households","","","","","","","","","","","","","","","","",""
"        Estimate","3,338","11.0%","15.2%","17.7%","10.6%","14.8%","18.8%","4.3%","6.8%","0.1%","0.9%","29,898","43,039","","(X)","(X)","35.6%"
"Pierce County, Georgia","","","","","","","","","","","","","","","","",""
"    Households","","","","","","","","","","","","","","","","",""
"        Estimate","7,178","7.3%","4.0%","16.1%","11.0%","13.7%","21.2%","10.7%","10.3%","3.6%","2.2%","48,969","65,670","","36.1%","(X)","(X)"
"    Families","","","","","","","","","","","","","","","","",""
"        Estimate","4,927","5.6%","0.6%","14.3%","10.7%","13.7%","19.0%","14.2%","13.4%","5.2%","3.2%","55,466","78,439","","(X)","40.4%","(X)"
"    Married-couple families","","","","","","","","","","","","","","","","",""
"        Estimate","3,390","1.8%","0.1%","8.6%","10.7%","10.7%","21.3%","17.2%","17.6%","7.6%","4.3%","69,469","N","","(X)","(X)","(X)"
"    Nonfamily households","","","","","","","","","","","","","","","","",""
"        Estimate","2,251","14.6%","11.2%","22.9%","11.6%","19.4%","14.7%","3.2%","2.4%","0.0%","0.0%","25,447","33,502","","(X)","(X)","22.4%"
"Pike County, Georgia","","","","","","","","","","","","","","","","",""
"    Households","","","","","","","","","","","","","","","","",""
"        Estimate","6,163","6.6%","2.8%","6.2%","8.1%","10.5%","21.6%","14.2%","19.0%","5.2%","5.6%","68,138","82,974","","47.6%","(X)","(X)"
"    Families","","","","","","","","","","","","","","","","",""
"        Estimate","4,494","3.3%","0.7%","4.2%","5.4%","10.3%","21.2%","15.9%","25.3%","7.1%","6.7%","84,028","96,892","","(X)","49.1%","(X)"
"    Married-couple families","","","","","","","","","","","","","","","","",""
"        Estimate","3,704","1.2%","0.2%","2.0%","3.0%","10.8%","21.7%","16.7%","28.6%","8.6%","7.1%","90,964","N","","(X)","(X)","(X)"
"    Nonfamily households","","","","","","","","","","","","","","","","",""
"        Estimate","1,669","16.2%","8.6%","12.0%","15.5%","12.5%","23.0%","8.0%","1.4%","0.1%","2.6%","33,663","43,706","","(X)","(X)","42.1%"
"Polk County, Georgia","","","","","","","","","","","","","","","","",""
"    Households","","","","","","","","","","","","","","","","",""
"        Estimate","15,425","6.9%","6.5%","12.1%","11.7%","15.0%","17.7%","12.4%","11.3%","4.4%","1.9%","46,846","63,967","","34.9%","(X)","(X)"
"    Families","","","","","","","","","","","","","","","","",""
"        Estimate","10,716","6.4%","3.5%","7.6%","13.4%","11.6%","22.7%","13.6%","12.6%","6.0%","2.7%","57,827","73,496","","(X)","36.0%","(X)"
"    Married-couple families","","","","","","","","","","","","","","","","",""
"        Estimate","7,395","1.9%","0.5%","6.7%","13.8%","11.5%","19.3%","17.4%","17.5%","7.5%","3.7%","67,637","N","","(X)","(X)","(X)"
"    Nonfamily households","","","","","","","","","","","","","","","","",""
"        Estimate","4,709","11.3%","13.6%","21.9%","9.1%","21.1%","9.6%","8.5%","4.2%","0.8%","0.0%","27,693","37,413","","(X)","(X)","30.4%"
"Pulaski County, Georgia","","","","","","","","","","","","","","","","",""
"    Households","","","","","","","","","","","","","","","","",""
"        Estimate","3,803","6.4%","11.6%","10.8%","13.0%","14.4%","12.6%","10.7%","13.9%","6.2%","0.3%","42,213","58,621","","46.2%","(X)","(X)"
"    Families","","","","","","","","","","","","","","","","",""
"        Estimate","2,448","5.8%","7.3%","8.5%","7.7%","10.7%","20.3%","8.9%","22.9%","7.5%","0.4%","63,529","71,812","","(X)","46.3%","(X)"
"    Married-couple families","","","","","","","","","","","","","","","","",""
"        Estimate","1,512","3.2%","2.0%","4.8%","4.4%","10.8%","22.2%","12.5%","29.2%","10.3%","0.7%","77,228","N","","(X)","(X)","(X)"
"    Nonfamily households","","","","","","","","","","","","","","","","",""
"        Estimate","1,355","11.0%","19.5%","16.8%","19.6%","21.1%","6.4%","4.6%","0.9%","0.0%","0.0%","26,074","30,391","","(X)","(X)","42.2%"
"Putnam County, Georgia","","","","","","","","","","","","","","","","",""
"    Households","","","","","","","","","","","","","","","","",""
"        Estimate","9,457","6.1%","5.0%","8.3%","15.1%","11.6%","19.1%","11.9%","13.4%","4.0%","5.5%","52,910","81,278","","48.2%","(X)","(X)"
"    Families","","","","","","","","","","","","","","","","",""
"        Estimate","6,261","3.1%","5.1%","5.8%","12.7%","9.8%","22.9%","14.1%","16.8%","4.2%","5.5%","63,054","85,544","","(X)","49.2%","(X)"
"    Married-couple families","","","","","","","","","","","","","","","","",""
"        Estimate","4,710","1.4%","4.2%","2.5%","6.2%","10.4%","24.1%","16.7%","21.9%","5.3%","7.3%","76,033","N","","(X)","(X)","(X)"
"    Nonfamily households","","","","","","","","","","","","","","","","",""
"        Estimate","3,196","13.6%","6.0%","13.5%","19.8%","14.1%","11.7%","7.8%","4.8%","3.4%","5.4%","33,623","69,671","","(X)","(X)","44.3%"
"Quitman County, Georgia","","","","","","","","","","","","","","","","",""
"    Households","","","","","","","","","","","","","","","","",""
"        Estimate","958","9.4%","6.7%","16.7%","18.1%","17.6%","16.8%","5.7%","2.7%","3.4%","2.8%","34,394","53,987","","60.5%","(X)","(X)"
"    Families","","","","","","","","","","","","","","","","",""
"        Estimate","566","8.8%","1.2%","13.4%","15.2%","8.7%","28.4%","9.7%","3.9%","5.8%","4.8%","52,786","70,622","","(X)","66.6%","(X)"
"    Married-couple families","","","","","","","","","","","","","","","","",""
"        Estimate","425","4.2%","0.0%","14.6%","18.4%","10.6%","28.7%","11.1%","3.5%","2.6%","6.4%","52,159","N","","(X)","(X)","(X)"
"    Nonfamily households","","","","","","","","","","","","","","","","",""
"        Estimate","392","10.2%","14.5%","21.4%","22.2%","30.6%","0.0%","0.0%","1.0%","0.0%","0.0%","28,014","26,752","","(X)","(X)","51.8%"
"Rabun County, Georgia","","","","","","","","","","","","","","","","",""
"    Households","","","","","","","","","","","","","","","","",""
"        Estimate","7,022","6.7%","9.6%","12.3%","13.0%","13.9%","15.2%","12.0%","8.9%","4.3%","4.0%","44,871","71,518","","36.6%","(X)","(X)"
"    Families","","","","","","","","","","","","","","","","",""
"        Estimate","4,442","3.7%","4.0%","8.9%","10.8%","15.7%","18.9%","13.7%","13.0%","6.2%","5.2%","56,649","86,345","","(X)","39.2%","(X)"
"    Married-couple families","","","","","","","","","","","","","","","","",""
"        Estimate","3,627","2.1%","2.1%","7.2%","10.1%","16.0%","19.3%","14.5%","15.4%","7.1%","6.2%","67,063","N","","(X)","(X)","(X)"
"    Nonfamily households","","","","","","","","","","","","","","","","",""
"        Estimate","2,580","12.3%","20.0%","16.9%","18.3%","10.6%","8.0%","8.9%","1.9%","1.0%","2.1%","25,440","45,067","","(X)","(X)","31.4%"
"Randolph County, Georgia","","","","","","","","","","","","","","","","",""
"    Households","","","","","","","","","","","","","","","","",""
"        Estimate","2,704","13.4%","8.5%","21.3%","16.4%","20.1%","9.6%","6.5%","1.8%","2.1%","0.3%","29,400","37,099","","36.2%","(X)","(X)"
"    Families","","","","","","","","","","","","","","","","",""
"        Estimate","1,690","7.7%","3.8%","19.3%","18.8%","25.4%","11.2%","7.2%","2.7%","3.4%","0.5%","35,154","44,170","","(X)","43.2%","(X)"
"    Married-couple families","","","","","","","","","","","","","","","","",""
"        Estimate","748","1.1%","1.5%","14.8%","9.5%","35.4%","9.9%","16.2%","4.9%","5.6%","1.1%","39,957","N","","(X)","(X)","(X)"
"    Nonfamily households","","","","","","","","","","","","","","","","",""
"        Estimate","1,014","22.9%","16.3%","25.9%","12.5%","9.9%","9.6%","2.7%","0.3%","0.0%","0.0%","17,099","23,919","","(X)","(X)","24.7%"
"Richmond County, Georgia","","","","","","","","","","","","","","","","",""
"    Households","","","","","","","","","","","","","","","","",""
"        Estimate","72,526","10.4%","7.0%","12.4%","11.9%","12.8%","19.4%","10.9%","9.4%","3.2%","2.6%","43,882","60,163","","36.9%","(X)","(X)"
"    Families","","","","","","","","","","","","","","","","",""
"        Estimate","42,892","7.7%","5.1%","9.8%","11.8%","12.5%","20.0%","12.5%","12.4%","4.3%","4.0%","53,033","71,471","","(X)","39.0%","(X)"
"    Married-couple families","","","","","","","","","","","","","","","","",""
"        Estimate","23,902","0.8%","1.9%","5.2%","8.8%","10.1%","23.9%","18.1%","17.9%","6.5%","6.7%","74,442","96,112","","(X)","(X)","(X)"
"    Nonfamily households","","","","","","","","","","","","","","","","",""
"        Estimate","29,634","15.1%","10.1%","17.1%","12.3%","13.8%","17.1%","8.0%","4.5%","1.5%","0.6%","30,851","41,668","","(X)","(X)","32.0%"
"Rockdale County, Georgia","","","","","","","","","","","","","","","","",""
"    Households","","","","","","","","","","","","","","","","",""
"        Estimate","31,465","4.8%","2.8%","7.9%","10.5%","13.3%","20.0%","14.1%","16.7%","4.8%","5.0%","62,505","78,886","","47.4%","(X)","(X)"
"    Families","","","","","","","","","","","","","","","","",""
"        Estimate","22,677","3.6%","2.0%","7.6%","8.0%","12.4%","19.7%","14.5%","19.2%","6.5%","6.4%","70,557","87,661","","(X)","49.6%","(X)"
"    Married-couple families","","","","","","","","","","","","","","","","",""
"        Estimate","14,488","0.4%","1.5%","4.5%","5.4%","9.0%","20.9%","16.0%","25.2%","8.4%","8.7%","90,749","104,284","","(X)","(X)","(X)"
"    Nonfamily households","","","","","","","","","","","","","","","","",""
